Gene,Non-unique Gene name,Annotation,USDA1021,WSM1022
group_2110,,hypothetical protein,USDA1021_00151,WSM1022_02087
tadA_2,tadA_2,tRNA-specific adenosine deaminase,USDA1021_05799,WSM1022_00558
flbT,flbT,flagellum biosynthesis repressor protein FlbT,USDA1021_05643,WSM1022_00424
group_2107,,hypothetical protein,USDA1021_05431,WSM1022_05390
group_2106,,hypothetical protein,USDA1021_05122,WSM1022_05088
yqeY,yqeY,putative protein YqeY,USDA1021_03308,WSM1022_02273
rpsF,rpsF,30S ribosomal protein S6,USDA1021_01278,WSM1022_00925
group_2100,,hypothetical protein,USDA1021_01261,WSM1022_00942
ratA,ratA,Ribosome association toxin RatA,USDA1021_00949,WSM1022_01244
group_2098,,hypothetical protein,USDA1021_06145,WSM1022_05706
group_2097,,hypothetical protein,USDA1021_06129,WSM1022_05687
ohrR_2,ohrR_2,Organic hydroperoxide resistance transcriptional regulator,USDA1021_03149,WSM1022_02432
tolR,tolR,Tol-Pal system protein TolR,USDA1021_02866,WSM1022_02719
group_2092,,hypothetical protein,USDA1021_01984,WSM1022_00032
group_2091,,hypothetical protein,USDA1021_01947,WSM1022_00072
group_2090,,hypothetical protein,USDA1021_01935,WSM1022_00082
ccmE,ccmE,Cytochrome c-type biogenesis protein CcmE,USDA1021_01483,WSM1022_00803
slyA_2,slyA_2,Transcriptional regulator SlyA,USDA1021_01284,WSM1022_00919
group_2088,,hypothetical protein,USDA1021_01093,WSM1022_01103
hisI,hisI,Phosphoribosyl-AMP cyclohydrolase,USDA1021_00985,WSM1022_01210
fucU_2,fucU_2,L-fucose mutarotase,USDA1021_06498,WSM1022_06055
group_2080,,hypothetical protein,USDA1021_04313,WSM1022_04182
group_2077,,hypothetical protein,USDA1021_04077,WSM1022_03978
group_2075,,hypothetical protein,USDA1021_03269,WSM1022_02312
ybgC,ybgC,Acyl-CoA thioesterase YbgC,USDA1021_02863,WSM1022_02722
ybbJ,ybbJ,Inner membrane protein YbbJ,USDA1021_02800,WSM1022_02795
group_2074,,hypothetical protein,USDA1021_02392,WSM1022_03155
group_2073,,Putative HTH-type transcriptional regulator,USDA1021_01688,WSM1022_00331
group_2072,,hypothetical protein,USDA1021_01612,WSM1022_00652
ccmH,ccmH,Cytochrome c-type biogenesis protein CcmH,USDA1021_01481,WSM1022_00805
group_2071,,hypothetical protein,USDA1021_01111,WSM1022_01085
group_2070,,hypothetical protein,USDA1021_00859,WSM1022_01334
group_2069,,hypothetical protein,0_refound_15_stop,WSM1022_04082
group_2068,,hypothetical protein,USDA1021_06603,WSM1022_06161
group_2067,,hypothetical protein,USDA1021_05940,WSM1022_05553
ndhC_2,ndhC_2,NAD(P)H-quinone oxidoreductase subunit 3 chloroplastic,USDA1021_04342,WSM1022_04211
group_2065,,hypothetical protein,USDA1021_04173,WSM1022_04078
group_2064,,hypothetical protein,USDA1021_04060,WSM1022_03923
cdd,cdd,Cytidine deaminase,USDA1021_02123,WSM1022_03428
ywnA_1,ywnA_1,Putative HTH-type transcriptional regulator YwnA,USDA1021_01891,WSM1022_00128
group_2061,,hypothetical protein,USDA1021_01862,WSM1022_00157
paaZ_2,paaZ_2,Bifunctional protein PaaZ,USDA1021_06610,WSM1022_06168
asnC,asnC,Regulatory protein AsnC,USDA1021_05968,WSM1022_05581
group_2056,,hypothetical protein,USDA1021_05581,WSM1022_00366
group_2055,,hypothetical protein,USDA1021_05531,WSM1022_05491
group_2054,,hypothetical protein,USDA1021_05349,WSM1022_05314
ibpA_2,ibpA_2,Small heat shock protein IbpA,USDA1021_02784,WSM1022_02811
group_2051,,hypothetical protein,USDA1021_02649,WSM1022_02944
group_2050,,hypothetical protein,USDA1021_01778,WSM1022_00242
group_2049,,hypothetical protein,USDA1021_01716,WSM1022_00303
rnhA_1,rnhA_1,Ribonuclease HI,USDA1021_01593,WSM1022_00671
group_2048,,hypothetical protein,USDA1021_01316,1_refound_24
ribH1,ribH1,67-dimethyl-8-ribityllumazine synthase 1,USDA1021_01201,WSM1022_01003
lrp_1,lrp_1,Leucine-responsive regulatory protein,USDA1021_00761,WSM1022_01431
trmL,trmL,tRNA (cytidine(34)-2'-O)-methyltransferase,USDA1021_00554,WSM1022_01681
group_2047,,hypothetical protein,USDA1021_00366,WSM1022_01868
group_2046,,hypothetical protein,USDA1021_00136,WSM1022_02101
group_2044,,hypothetical protein,USDA1021_06531,WSM1022_06087
nsrR_2,nsrR_2,HTH-type transcriptional repressor NsrR,USDA1021_05700,WSM1022_00483
group_2041,,hypothetical protein,USDA1021_05430,WSM1022_05389
ureE1,ureE1,Urease accessory protein UreE 1,USDA1021_03163,WSM1022_02418
lrp_5,lrp_5,Leucine-responsive regulatory protein,USDA1021_02918,WSM1022_02659
ptsN,ptsN,Nitrogen regulatory protein,USDA1021_01871,WSM1022_00148
group_2038,,hypothetical protein,USDA1021_01213,WSM1022_00991
rplM,rplM,50S ribosomal protein L13,USDA1021_01171,WSM1022_01030
group_2037,,hypothetical protein,USDA1021_00908,WSM1022_01284
fabZ,fabZ,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,USDA1021_00897,WSM1022_01295
decR_1,decR_1,DNA-binding transcriptional activator DecR,USDA1021_00203,WSM1022_02036
cheW_1,cheW_1,Chemotaxis protein CheW,USDA1021_00130,WSM1022_02108
group_2035,,hypothetical protein,USDA1021_06186,WSM1022_05746
cheW_3,cheW_3,Chemotaxis protein CheW,USDA1021_05597,WSM1022_00382
phnG,phnG,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG,USDA1021_05489,WSM1022_05448
group_2032,,hypothetical protein,USDA1021_03329,WSM1022_02254
group_2031,,hypothetical protein,USDA1021_03042,WSM1022_02538
group_2030,,hypothetical protein,USDA1021_01850,WSM1022_00169
group_2029,,hypothetical protein,USDA1021_01492,WSM1022_00794
moaE,moaE,Molybdopterin synthase catalytic subunit,USDA1021_01248,WSM1022_00954
rpsI,rpsI,30S ribosomal protein S9,USDA1021_01172,WSM1022_01029
group_2028,,hypothetical protein,USDA1021_00763,WSM1022_01429
bcp,bcp,Putative peroxiredoxin bcp,USDA1021_00633,WSM1022_01613
decR_4,decR_4,DNA-binding transcriptional activator DecR,USDA1021_05354,WSM1022_05319
group_2026,,hypothetical protein,USDA1021_04704,WSM1022_04614
group_2024,,hypothetical protein,USDA1021_03268,WSM1022_02313
group_2023,,hypothetical protein,USDA1021_02065,WSM1022_03486
group_2022,,hypothetical protein,USDA1021_01787,WSM1022_00233
rpsG,rpsG,30S ribosomal protein S7,USDA1021_01056,WSM1022_01139
rplO,rplO,50S ribosomal protein L15,USDA1021_01033,WSM1022_01162
group_2021,,hypothetical protein,USDA1021_00972,WSM1022_01223
lrp_2,lrp_2,Leucine-responsive regulatory protein,USDA1021_00830,WSM1022_01365
group_2020,,hypothetical protein,USDA1021_00385,WSM1022_01848
group_2019,,hypothetical protein,USDA1021_00290,WSM1022_01952
group_2016,,hypothetical protein,USDA1021_05344,WSM1022_05310
group_2015,,hypothetical protein,USDA1021_04956,1_refound_46_stop
group_2012,,hypothetical protein,USDA1021_02769,WSM1022_02825
group_2011,,hypothetical protein,USDA1021_02747,WSM1022_02847
group_2010,,Inorganic triphosphatase,USDA1021_02720,WSM1022_02874
kbp,kbp,Potassium binding protein Kbp,USDA1021_02209,WSM1022_03338
group_2009,,hypothetical protein,USDA1021_02202,WSM1022_03347
ybaK,ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,USDA1021_01946,WSM1022_00073
group_2008,,hypothetical protein,USDA1021_01729,WSM1022_00291
nrdR,nrdR,Transcriptional repressor NrdR,USDA1021_01207,WSM1022_00997
slyA_1,slyA_1,Transcriptional regulator SlyA,USDA1021_01152,WSM1022_01045
group_2007,,hypothetical protein,USDA1021_01002,WSM1022_01193
ribH2,ribH2,67-dimethyl-8-ribityllumazine synthase 2,USDA1021_00059,WSM1022_02179
yiaM_2,yiaM_2,23-diketo-L-gulonate TRAP transporter small permease protein YiaM,USDA1021_06026,WSM1022_05637
IMPDH_3,IMPDH_3,Inosine-5'-monophosphate dehydrogenase,USDA1021_05985,WSM1022_05596
group_2006,,hypothetical protein,USDA1021_05927,WSM1022_05540
group_2005,,hypothetical protein,USDA1021_05567,WSM1022_00355
lrp_7,lrp_7,Leucine-responsive regulatory protein,USDA1021_04145,WSM1022_04050
group_2003,,hypothetical protein,USDA1021_03292,WSM1022_02289
ohrR_1,ohrR_1,Organic hydroperoxide resistance transcriptional regulator,USDA1021_01544,WSM1022_00743
mrpE,mrpE,Na(+)/H(+) antiporter subunit E,USDA1021_01509,WSM1022_00777
accB,accB,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,USDA1021_01090,WSM1022_01106
greA,greA,Transcription elongation factor GreA,USDA1021_00825,WSM1022_01370
group_2001,,hypothetical protein,USDA1021_00436,WSM1022_01799
ibpA_3,ibpA_3,Small heat shock protein IbpA,USDA1021_06505,WSM1022_06062
group_2000,,hypothetical protein,USDA1021_05798,WSM1022_00557
arsC_2,arsC_2,Arsenate reductase,USDA1021_05568,WSM1022_00356
ndhS_1,ndhS_1,Nicotinate dehydrogenase small FeS subunit,USDA1021_04007,WSM1022_03930
group_1997,,hypothetical protein,USDA1021_03350,WSM1022_02239
lrp_4,lrp_4,Leucine-responsive regulatory protein,USDA1021_02663,WSM1022_02930
group_1995,,hypothetical protein,USDA1021_02541,WSM1022_02993
cheW_2,cheW_2,Chemotaxis protein CheW,USDA1021_02538,WSM1022_02996
hndA,hndA,NADP-reducing hydrogenase subunit HndA,USDA1021_02531,WSM1022_03003
group_1994,,hypothetical protein,USDA1021_02459,WSM1022_03079
slyA_3,slyA_3,Transcriptional regulator SlyA,USDA1021_02386,WSM1022_03161
group_1993,,hypothetical protein,USDA1021_01672,WSM1022_00347
group_1992,,hypothetical protein,USDA1021_01559,WSM1022_00728
smpB,smpB,SsrA-binding protein,USDA1021_01357,WSM1022_00849
group_1991,,hypothetical protein,USDA1021_01303,WSM1022_00899
group_1988,,hypothetical protein,USDA1021_05856,WSM1022_00613
greB,greB,Transcription elongation factor GreB,USDA1021_04950,WSM1022_03687
group_1986,,hypothetical protein,USDA1021_02977,WSM1022_02602
rlmH,rlmH,Ribosomal RNA large subunit methyltransferase H,USDA1021_02433,WSM1022_03103
dut,dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase,USDA1021_01906,WSM1022_00112
group_1985,,hypothetical protein,USDA1021_01879,WSM1022_00140
group_1983,,hypothetical protein,USDA1021_01332,WSM1022_00872
group_1982,,hypothetical protein,USDA1021_01304,WSM1022_00898
nusB,nusB,Transcription antitermination protein NusB,USDA1021_01200,WSM1022_01004
decR_3,decR_3,DNA-binding transcriptional activator DecR,USDA1021_00674,WSM1022_01574
group_1980,,hypothetical protein,USDA1021_06203,WSM1022_05762
atpF_2,atpF_2,ATP synthase subunit b,USDA1021_05835,WSM1022_00594
group_1979,,hypothetical protein,USDA1021_05538,WSM1022_05498
ndhS_2,ndhS_2,Nicotinate dehydrogenase small FeS subunit,USDA1021_05241,WSM1022_05209
group_1978,,hypothetical protein,USDA1021_04199,WSM1022_04098
group_1977,,hypothetical protein,USDA1021_03694,1_refound_34_stop
mnhE1,mnhE1,Na(+)/H(+) antiporter subunit E1,USDA1021_02692,WSM1022_02902
bfr,bfr,Bacterioferritin,USDA1021_02428,WSM1022_03108
group_1974,,hypothetical protein,USDA1021_02342,WSM1022_03207
PGdx,PGdx,Hybrid peroxiredoxin hyPrx5,USDA1021_01592,WSM1022_00672
group_1973,,hypothetical protein,USDA1021_00965,WSM1022_01230
soxR,soxR,Redox-sensitive transcriptional activator SoxR,USDA1021_00552,WSM1022_01683
group_1972,,hypothetical protein,USDA1021_00301,WSM1022_01941
dapH,dapH,2345-tetrahydropyridine-26-dicarboxylate N-acetyltransferase,USDA1021_06035,WSM1022_05646
group_1966,,hypothetical protein,USDA1021_04722,WSM1022_04632
group_1965,,putative enoyl-CoA hydratase 1,USDA1021_02756,WSM1022_02838
cutS,cutS,Carbon monoxide dehydrogenase small chain,USDA1021_02549,WSM1022_02985
decR_2,decR_2,DNA-binding transcriptional activator DecR,USDA1021_00499,WSM1022_01740
allA_1,allA_1,Ureidoglycolate lyase,USDA1021_05905,WSM1022_05516
group_1961,,hypothetical protein,USDA1021_05508,WSM1022_05468
group_1960,,hypothetical protein,USDA1021_03254,WSM1022_02327
rsfS,rsfS,Ribosomal silencing factor RsfS,USDA1021_02434,WSM1022_03102
group_1959,,hypothetical protein,USDA1021_02076,WSM1022_03475
yciF,yciF,Protein YciF,USDA1021_01960,WSM1022_00056
nuoI,nuoI,NADH-quinone oxidoreductase subunit I,USDA1021_01135,WSM1022_01062
coaD,coaD,Phosphopantetheine adenylyltransferase,USDA1021_00814,WSM1022_01380
group_1957,,hypothetical protein,USDA1021_00515,WSM1022_01724
group_1952,,hypothetical protein,USDA1021_05233,WSM1022_05201
group_1948,,hypothetical protein,USDA1021_02656,WSM1022_02937
group_1947,,hypothetical protein,USDA1021_02618,WSM1022_02975
group_1946,,hypothetical protein,USDA1021_01951,WSM1022_00065
msrB_2,msrB_2,Peptide methionine sulfoxide reductase MsrB,USDA1021_01811,WSM1022_00210
moaC,moaC,Cyclic pyranopterin monophosphate synthase,USDA1021_00720,WSM1022_01471
group_1944,,hypothetical protein,USDA1021_06397,WSM1022_05955
group_1943,,hypothetical protein,USDA1021_04630,WSM1022_04492
group_1942,,hypothetical protein,USDA1021_04595,WSM1022_04463
group_1940,,hypothetical protein,USDA1021_02088,WSM1022_03463
group_1939,,hypothetical protein,USDA1021_01515,WSM1022_00771
yrrK,yrrK,Putative pre-16S rRNA nuclease,USDA1021_01101,WSM1022_01095
group_1938,,hypothetical protein,USDA1021_01095,WSM1022_01101
gpt,gpt,Xanthine phosphoribosyltransferase,USDA1021_00747,WSM1022_01445
eis_1,eis_1,N-acetyltransferase Eis,USDA1021_00727,WSM1022_01464
group_1937,,hypothetical protein,USDA1021_00133,WSM1022_02104
group_1936,,hypothetical protein,USDA1021_06484,WSM1022_06041
group_1935,,hypothetical protein,USDA1021_06370,WSM1022_05928
group_1933,,hypothetical protein,USDA1021_05479,WSM1022_05438
group_1932,,hypothetical protein,USDA1021_05396,WSM1022_05362
nuoJ_2,nuoJ_2,NADH-quinone oxidoreductase subunit J,USDA1021_04335,WSM1022_04204
group_1931,,hypothetical protein,USDA1021_03287,WSM1022_02294
group_1930,,hypothetical protein,USDA1021_02492,WSM1022_03044
lspA,lspA,Lipoprotein signal peptidase,USDA1021_01859,WSM1022_00160
group_1928,,hypothetical protein,USDA1021_01302,WSM1022_00900
group_1927,,hypothetical protein,USDA1021_00929,WSM1022_01263
pucL,pucL,Uric acid degradation bifunctional protein PucL,USDA1021_06150,WSM1022_05711
group_1925,,hypothetical protein,USDA1021_05154,WSM1022_05120
group_1924,,hypothetical protein,USDA1021_05098,WSM1022_05064
nqo6,nqo6,NADH-quinone oxidoreductase subunit 6,USDA1021_04343,WSM1022_04212
group_1922,,hypothetical protein,USDA1021_02737,WSM1022_02857
group_1921,,hypothetical protein,USDA1021_02378,WSM1022_03169
rimI,rimI,[Ribosomal protein S18]-alanine N-acetyltransferase,USDA1021_01847,WSM1022_00172
group_1920,,hypothetical protein,USDA1021_01712,WSM1022_00307
group_1918,,hypothetical protein,USDA1021_01527,WSM1022_00760
group_1917,,hypothetical protein,USDA1021_01251,WSM1022_00951
group_1916,,hypothetical protein,USDA1021_01202,WSM1022_01002
group_1914,,hypothetical protein,USDA1021_06506,WSM1022_06063
group_1913,,hypothetical protein,USDA1021_05773,WSM1022_00532
yciE,yciE,Protein YciE,USDA1021_05281,WSM1022_05247
nqo2_2,nqo2_2,NADH-quinone oxidoreductase subunit 2,USDA1021_04346,WSM1022_04215
msrA3,msrA3,Peptide methionine sulfoxide reductase MsrA 3,USDA1021_04114,WSM1022_04028
group_1912,,hypothetical protein,USDA1021_02452,WSM1022_03085
ybeY,ybeY,Endoribonuclease YbeY,USDA1021_01843,WSM1022_00176
nsrR_1,nsrR_1,HTH-type transcriptional repressor NsrR,USDA1021_01717,WSM1022_00302
group_1911,,hypothetical protein,USDA1021_01578,WSM1022_00687
bamE,bamE,Outer membrane protein assembly factor BamE,USDA1021_01197,WSM1022_01007
dsbB,dsbB,Disulfide bond formation protein B,USDA1021_02975,WSM1022_02604
group_1904,,L-methionine sulfoximine/L-methionine sulfone acetyltransferase,USDA1021_00836,WSM1022_01359
group_1903,,Putative peptidyl-prolyl cis-trans isomerase,USDA1021_00812,WSM1022_01382
blc,blc,Outer membrane lipoprotein Blc,USDA1021_00297,WSM1022_01945
group_1902,,hypothetical protein,USDA1021_06209,WSM1022_05768
allA_2,allA_2,Ureidoglycolate lyase,USDA1021_06151,WSM1022_05712
group_1901,,hypothetical protein,USDA1021_04319,WSM1022_04188
group_1900,,hypothetical protein,USDA1021_04317,WSM1022_04186
ruvC,ruvC,Crossover junction endodeoxyribonuclease RuvC,USDA1021_02856,WSM1022_02729
purE,purE,N5-carboxyaminoimidazole ribonucleotide mutase,USDA1021_02820,WSM1022_02763
group_1898,,hypothetical protein,USDA1021_01254,WSM1022_00948
group_1897,,hypothetical protein,USDA1021_01210,WSM1022_00994
group_1896,,hypothetical protein,USDA1021_05388,WSM1022_05353
ecfG_3,ecfG_3,ECF RNA polymerase sigma factor EcfG,USDA1021_03252,WSM1022_02329
fabA,fabA,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,USDA1021_02006,WSM1022_00014
group_1895,,hypothetical protein,USDA1021_00148,WSM1022_02090
group_1893,,hypothetical protein,USDA1021_06373,WSM1022_05931
group_1891,,hypothetical protein,USDA1021_05080,WSM1022_05047
group_1890,,hypothetical protein,USDA1021_04466,WSM1022_04310
group_1887,,hypothetical protein,USDA1021_02832,WSM1022_02751
group_1886,,hypothetical protein,USDA1021_01970,WSM1022_00046
sodC,sodC,Superoxide dismutase [Cu-Zn],USDA1021_01319,WSM1022_00884
dnaA_1,dnaA_1,Chromosomal replication initiator protein DnaA,USDA1021_00346,WSM1022_01900
group_1883,,hypothetical protein,USDA1021_06350,WSM1022_05908
ecfG_5,ecfG_5,ECF RNA polymerase sigma factor EcfG,USDA1021_05982,WSM1022_05593
group_1882,,hypothetical protein,USDA1021_05192,WSM1022_05160
group_1881,,hypothetical protein,USDA1021_04902,WSM1022_03735
aacA4,aacA4,Aminoglycoside N(6')-acetyltransferase type 1,USDA1021_02199,WSM1022_03350
group_1880,,hypothetical protein,USDA1021_01744,WSM1022_00276
group_1876,,hypothetical protein,USDA1021_05443,WSM1022_05402
paaD,paaD,Putative 12-phenylacetyl-CoA epoxidase subunit D,USDA1021_05393,WSM1022_05359
group_1873,,hypothetical protein,USDA1021_02192,WSM1022_03357
ssb_1,ssb_1,Single-stranded DNA-binding protein,USDA1021_00840,WSM1022_01355
folK,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,USDA1021_00566,WSM1022_01669
mobB,mobB,Molybdopterin-guanine dinucleotide biosynthesis adapter protein,USDA1021_00510,WSM1022_01729
group_1872,,hypothetical protein,USDA1021_00487,WSM1022_01752
group_1870,,hypothetical protein,USDA1021_04013,WSM1022_03936
rppH,rppH,RNA pyrophosphohydrolase,USDA1021_02429,WSM1022_03107
group_1868,,hypothetical protein,USDA1021_01995,WSM1022_00025
ttr,ttr,Acetyltransferase,USDA1021_01978,WSM1022_00038
group_1867,,hypothetical protein,USDA1021_01521,WSM1022_00765
hpaC,hpaC,4-hydroxyphenylacetate 3-monooxygenase reductase component,USDA1021_00622,WSM1022_01624
cobP,cobP,Bifunctional adenosylcobalamin biosynthesis protein CobP,USDA1021_00417,WSM1022_01817
fdhC_2,fdhC_2,Fructose dehydrogenase cytochrome subunit,USDA1021_04970,WSM1022_03668
group_1862,,hypothetical protein,USDA1021_05970,WSM1022_05583
group_1860,,hypothetical protein,USDA1021_05333,WSM1022_05299
cycB_1,cycB_1,Cytochrome c-553I,USDA1021_05196,WSM1022_05164
group_1859,,hypothetical protein,USDA1021_04941,WSM1022_03696
group_1858,,hypothetical protein,USDA1021_04926,WSM1022_03711
pal_2,pal_2,Peptidoglycan-associated lipoprotein,USDA1021_02869,WSM1022_02716
group_1857,,hypothetical protein,USDA1021_01605,WSM1022_00659
group_1855,,hypothetical protein,USDA1021_01191,WSM1022_01013
nusG,nusG,Transcription termination/antitermination protein NusG,USDA1021_01066,WSM1022_01130
yrdA,yrdA,Protein YrdA,USDA1021_00467,WSM1022_01770
group_1853,,hypothetical protein,USDA1021_03227,WSM1022_02358
ppa,ppa,Inorganic pyrophosphatase,USDA1021_02454,WSM1022_03083
group_1852,,hypothetical protein,USDA1021_02347,WSM1022_03202
group_1851,,hypothetical protein,USDA1021_02169,WSM1022_03382
group_1850,,hypothetical protein,USDA1021_01314,WSM1022_00888
rplF,rplF,50S ribosomal protein L6,USDA1021_01037,WSM1022_01158
group_1848,,hypothetical protein,USDA1021_06308,WSM1022_05867
ecfG_1,ecfG_1,ECF RNA polymerase sigma factor EcfG,USDA1021_02771,WSM1022_02823
def_2,def_2,Peptide deformylase,USDA1021_01831,WSM1022_00188
group_1844,,hypothetical protein,USDA1021_01196,WSM1022_01008
group_1843,,hypothetical protein,USDA1021_00570,WSM1022_01665
group_1840,,hypothetical protein,USDA1021_06479,WSM1022_06038
rfbC_1,rfbC_1,dTDP-4-dehydrorhamnose 35-epimerase,USDA1021_06034,WSM1022_05645
group_1839,,hypothetical protein,USDA1021_06013,WSM1022_05624
group_1838,,Peroxiredoxin,USDA1021_03161,WSM1022_02420
group_1837,,hypothetical protein,USDA1021_02482,WSM1022_03055
group_1836,,hypothetical protein,USDA1021_02082,WSM1022_03469
group_1835,,hypothetical protein,USDA1021_01810,WSM1022_00211
group_1834,,hypothetical protein,USDA1021_01203,WSM1022_01001
group_1833,,hypothetical protein,USDA1021_00980,WSM1022_01215
mltC,mltC,Membrane-bound lytic murein transglycosylase C,USDA1021_00093,WSM1022_02145
moaB,moaB,Molybdenum cofactor biosynthesis protein B,USDA1021_05840,WSM1022_00599
ecfG_4,ecfG_4,ECF RNA polymerase sigma factor EcfG,USDA1021_04954,WSM1022_03683
apt,apt,Adenine phosphoribosyltransferase,USDA1021_03267,WSM1022_02314
group_1831,,hypothetical protein,USDA1021_02256,WSM1022_03290
group_1829,,hypothetical protein,USDA1021_00522,WSM1022_01717
group_1828,,hypothetical protein,USDA1021_05475,WSM1022_05434
group_1827,,hypothetical protein,USDA1021_05194,WSM1022_05162
nicF,nicF,Maleamate amidohydrolase,USDA1021_04228,WSM1022_04128
hpt,hpt,Hypoxanthine phosphoribosyltransferase,USDA1021_02956,WSM1022_02622
group_1823,,hypothetical protein,USDA1021_02264,WSM1022_03282
group_1822,,hypothetical protein,USDA1021_01585,WSM1022_00680
group_1821,,hypothetical protein,USDA1021_01495,WSM1022_00791
lemA,lemA,Protein LemA,USDA1021_05852,WSM1022_00609
ndhJ,ndhJ,NAD(P)H-quinone oxidoreductase subunit J chloroplastic,USDA1021_04344,WSM1022_04213
group_1816,,hypothetical protein,USDA1021_02390,WSM1022_03157
puuR,puuR,HTH-type transcriptional regulator PuuR,USDA1021_02303,WSM1022_03244
secB,secB,Protein-export protein SecB,USDA1021_02249,WSM1022_03297
group_1814,,hypothetical protein,0_refound_6,WSM1022_01755
group_1813,,hypothetical protein,USDA1021_06309,WSM1022_05868
group_1812,,hypothetical protein,USDA1021_06211,WSM1022_05770
group_1811,,hypothetical protein,USDA1021_05838,WSM1022_00597
cheD,cheD,Chemoreceptor glutamine deamidase CheD,USDA1021_05601,WSM1022_00386
ogt_2,ogt_2,Methylated-DNA--protein-cysteine methyltransferase,USDA1021_05526,WSM1022_05486
group_1810,,hypothetical protein,USDA1021_05123,WSM1022_05089
maa,maa,Maltose O-acetyltransferase,USDA1021_04661,WSM1022_04526
group_1808,,hypothetical protein,USDA1021_03258,WSM1022_02323
group_1807,,hypothetical protein,USDA1021_02660,WSM1022_02933
group_1806,,putative protein,USDA1021_02389,WSM1022_03158
group_1804,,hypothetical protein,USDA1021_01536,WSM1022_00751
group_1803,,hypothetical protein,USDA1021_01195,WSM1022_01009
group_1802,,hypothetical protein,USDA1021_00567,WSM1022_01668
group_1799,,hypothetical protein,USDA1021_05676,WSM1022_00458
group_1798,,hypothetical protein,USDA1021_05649,WSM1022_00430
todT_1,todT_1,Response regulator protein TodT,USDA1021_04562,WSM1022_04431
ecfG_2,ecfG_2,ECF RNA polymerase sigma factor EcfG,USDA1021_03195,WSM1022_02388
chaC,chaC,Glutathione-specific gamma-glutamylcyclotransferase,USDA1021_02950,WSM1022_02629
group_1796,,hypothetical protein,USDA1021_02753,WSM1022_02841
group_1794,,hypothetical protein,USDA1021_00613,WSM1022_01633
sigR,sigR,ECF RNA polymerase sigma factor SigR,USDA1021_00181,WSM1022_02057
group_1789,,Putative 3-methyladenine DNA glycosylase,USDA1021_05525,WSM1022_05485
msuE,msuE,FMN reductase (NADPH),USDA1021_05462,WSM1022_05421
group_1786,,NAD(P)H-dependent FMN reductase,USDA1021_03133,WSM1022_02445
group_1785,,hypothetical protein,USDA1021_02974,WSM1022_02605
hslV,hslV,ATP-dependent protease subunit HslV,USDA1021_02200,WSM1022_03349
rplE,rplE,50S ribosomal protein L5,USDA1021_01040,WSM1022_01155
group_1784,,hypothetical protein,USDA1021_06378,WSM1022_05936
rsmD,rsmD,Ribosomal RNA small subunit methyltransferase D,USDA1021_05801,WSM1022_00560
group_1783,,hypothetical protein,USDA1021_04513,WSM1022_04385
group_1782,,hypothetical protein,USDA1021_03213,WSM1022_02370
lptA,lptA,Lipopolysaccharide export system protein LptA,USDA1021_01867,WSM1022_00152
group_1781,,hypothetical protein,USDA1021_01250,WSM1022_00952
frr,frr,Ribosome-recycling factor,USDA1021_00903,WSM1022_01289
group_1780,,hypothetical protein,USDA1021_00095,1_refound_21
rfbC_2,rfbC_2,dTDP-4-dehydrorhamnose 35-epimerase,USDA1021_06404,WSM1022_05962
group_1777,,hypothetical protein,USDA1021_05637,WSM1022_00418
rimM,rimM,Ribosome maturation factor RimM,USDA1021_02350,WSM1022_03199
bioY,bioY,Biotin transporter BioY,USDA1021_01620,WSM1022_00644
group_1773,,hypothetical protein,USDA1021_00764,WSM1022_01428
dhfrIII,dhfrIII,Dihydrofolate reductase type 3,USDA1021_00157,WSM1022_02081
group_1771,,hypothetical protein,USDA1021_04454,WSM1022_04301
group_1768,,hypothetical protein,USDA1021_05864,WSM1022_00621
group_1767,,hypothetical protein,USDA1021_05651,WSM1022_00432
group_1766,,hypothetical protein,USDA1021_05353,WSM1022_05318
group_1765,,hypothetical protein,USDA1021_05182,WSM1022_05150
comR_3,comR_3,HTH-type transcriptional repressor ComR,USDA1021_05042,WSM1022_03588
ndhI,ndhI,NAD(P)H-quinone oxidoreductase subunit I chloroplastic,USDA1021_04350,WSM1022_04219
atpH,atpH,ATP synthase subunit delta,USDA1021_02505,WSM1022_03031
nadD,nadD,nicotinate-nucleotide adenylyltransferase,USDA1021_02435,WSM1022_03101
group_1762,,hypothetical protein,USDA1021_02245,WSM1022_03301
nfuA,nfuA,Fe/S biogenesis protein NfuA,USDA1021_01849,WSM1022_00170
group_1761,,hypothetical protein,USDA1021_00680,WSM1022_01567
gfa,gfa,Glutathione-dependent formaldehyde-activating enzyme,USDA1021_05183,WSM1022_05151
group_1758,,hypothetical protein,USDA1021_04946,WSM1022_03691
group_1756,,hypothetical protein,USDA1021_03316,WSM1022_02266
group_1755,,hypothetical protein,USDA1021_02336,WSM1022_03213
efp,efp,Elongation factor P,USDA1021_01973,WSM1022_00043
rpsE,rpsE,30S ribosomal protein S5,USDA1021_01035,WSM1022_01160
