Mt5.0 (r1.7) locus tag,ACRONYM,new locus_tag (r1.7),DESCRIPTION,Publication,ID Mt5.0 (r1.6),ID Mt4.0,ID Mt20120830,Affymetrix probe set,Nimblegen probe
MtrunA17_Chr2g0329151,MtEIN3l,#N/A,ETHYLENE INSENSITIVE 3-like; XM003597428 ,PMID:24494928,MtrunA17Chr2g0329151,Medtr2g098470,Mt0016_00338,Mtr.13262.1.S1_at,Medtr_v1_013415
MtrunA17_Chr4g0038391,MtELC ,#N/A,ESCRT-I (endosomal sorting complex required for transport I) subunit ,PMID:25527707,MtrunA17Chr4g0038391,Medtr4g075250,Mt0003_11075,Mtr.42249.1.S1_at,Medtr_v1_025062
MtrunA17_Chr4g0007001,MtEM6 ,#N/A, late embryogenesis protein (LEA),PMID:16461389,MtrunA17Chr4g0007001,Medtr4g016960,Mt0045_10058,Mtr.19482.1.S1_at,Medtr_v1_022627
MtrunA17_Chr3g0082921,MtENOD10,#N/A,early nodulin 10,,MtrunA17Chr3g0082921,Medtr3g415590,Mt0017_10445,Msa.906.1.S1_s_at,Medtr_v1_078013
MtrunA17_Chr3g0082991,MtENOD11 ,#N/A,early nodulin 11,PMID:11386369,MtrunA17Chr3g0082991,Medtr3g415670,Mt0017_10456,Mtr.13473.1.S1_at,Medtr_v1_077650
MtrunA17_Chr3g1009666,MtENOD11 antisense,#N/A,,,MtrunA17Chr3g1009666,#N/A,Mt0017_00461,Mtr.13473.1.S1_at,Medtr_v1_077650
MtrunA17_Chr3g0082981,MtENOD12,#N/A,early nodulin 12,PMID:1446169,MtrunA17Chr3g0082981,Medtr3g415650,Mt0017_10454,Msa.1722.1.S1_at,Medtr_v1_077648
MtrunA17_Chr4g0073901,MtENOD16,#N/A,early nodulin 16,PMID:9526510,MtrunA17Chr4g0073901,Medtr4g130780,Mt0001_10243,Mtr.17105.1.S1_at,Medtr_v1_027932
MtrunA17_Chr4g0073921,MtENOD20,#N/A,early nodulin 20,PMID:9526510,MtrunA17Chr4g0073921,Medtr4g130800,Mt0001_10242,Mtr.17106.1.S1_at,Medtr_v1_027933
MtrunA17_Chr5g0413247,MtENOD40,MtrunA17_Chr5g0413247,early nodulin 40; X80262 (EMBL db),PMID:7957074,MtrunA17Chr5g0413251,#N/A,Mt0012_10641,#N/A,Medtr_v1_063972
MtrunA17_Chr1g0160031,MtENOD8.1,#N/A,early nodulin 8; AAC26810,PMID:18321186,MtrunA17Chr1g0160031,Medtr1g030275,Mt0002_00999,Msa.1712.1.S1_at,Medtr_v1_005029
MtrunA17_Chr1g0160011,MtENOD8.2,#N/A,early nodulin 8,DOI:10.1016/S0168-9452(02)00132-2,MtrunA17Chr1g0160011,Medtr1g030268,Mt0002_00998,Mtr.8511.1.S1_at,#N/A
MtrunA17_Chr1g0159991,MtENOD8.3,#N/A,early nodulin 8,DOI:10.1016/S0168-9452(02)00132-2,MtrunA17Chr1g0159991,Medtr1g030265,Mt0002_00997,Mtr.10018.1.S1_at,Medtr_v1_054251
MtrunA17_Chr4g0063331,MtENOD93,#N/A,early nodulin 93,,MtrunA17Chr4g0063331,Medtr4g113820,Mt0001_10961,Mtr.12646.1.S1_at,Medtr_v1_026939
MtrunA17_Chr1g0150131,MtENODL1,#N/A,ENOD-like 1,PMID:30649463,MtrunA17Chr1g0150131,Medtr1g014120,Mt0002_10272,Mtr.17895.1.S1_at,
MtrunA17_Chr2g0324721,MtENODL10,#N/A,ENOD-like 10,PMID:30649463,MtrunA17Chr2g0324721,Medtr2g090580,Mt0019_10508,#N/A,
MtrunA17_Chr2g0331181,MtENODL11,#N/A,ENOD-like 11,PMID:30649463,MtrunA17Chr2g0331181,Medtr2g101300,Mt0016_10223,Mtr.49130.1.S1_at,
MtrunA17_Chr3g0127521,MtENODL12,#N/A,ENOD-like 12,PMID:30649463,MtrunA17Chr3g0127521,Medtr3g092170,Mt0007_10216,#N/A,
MtrunA17_Chr3g0132411,MtENODL13,#N/A,ENOD-like 13,PMID:30649463,MtrunA17Chr3g0132411,Medtr3g099540,Mt0007_10549,Mtr.18118.1.S1_at,
MtrunA17_Chr3g0132511,MtENODL14,#N/A,ENOD-like 14,PMID:30649463,MtrunA17Chr3g0132511,Medtr3g099680,Mt0007_00548,#N/A,
MtrunA17_Chr3g0132701,MtENODL15,#N/A,ENOD-like 15,PMID:30649463,MtrunA17Chr3g0132701,Medtr3g099980,Mt0007_00559,#N/A,
MtrunA17_Chr3g0133581,MtENODL16,#N/A,ENOD-like 16,PMID:30649463,MtrunA17Chr3g0133581,Medtr3g101260,Mt0007_00622,Mtr.30094.1.S1_at,
MtrunA17_Chr3g0136871,MtENODL17,#N/A,ENOD-like 17,PMID:30649463,MtrunA17Chr3g0136871,Medtr3g105930,Mt0007_10869,#N/A,
MtrunA17_Chr3g0144921,MtENODL18,#N/A,ENOD-like 18,PMID:30649463,MtrunA17Chr3g0144921,Medtr3g117110,Mt0089_00019,Mtr.51832.1.S1_at,
MtrunA17_Chr4g0001571,MtENODL19,#N/A,ENOD-like 19,PMID:30649463,MtrunA17Chr4g0001571,Medtr4g007250,Mt0038_00029,Mtr.10674.1.S1_at,
MtrunA17_Chr1g0188981,MtENODL2,#N/A,ENOD-like 2,PMID:30649463,MtrunA17Chr1g0188981,Medtr1g077790,Mt0004_10011,Mtr.13646.1.S1_at,
MtrunA17_Chr4g0039721,MtENODL20,#N/A,ENOD-like 20,PMID:30649463,MtrunA17Chr4g0039721,Medtr4g077787,Mt0003_01184,Mtr.23022.1.S1_at,
MtrunA17_Chr4g0040291,MtENODL21,#N/A,ENOD-like 21,PMID:30649463,MtrunA17Chr4g0040291,Medtr4g078410,Mt0003_11215,Mtr.28725.1.S1_at,
MtrunA17_Chr4g0041811,MtENODL22,#N/A,ENOD-like 22,PMID:30649463,MtrunA17Chr4g0041811,Medtr4g081100,Mt0003_11335,Mtr.11391.1.S1_at,
MtrunA17_Chr4g0062311,MtENODL23,#N/A,ENOD-like 23,PMID:30649463,MtrunA17Chr4g0062311,Medtr4g111640,Mt0001_01037,Mtr.17502.1.S1_at,
MtrunA17_Chr4g0062341,MtENODL24,#N/A,ENOD-like 24,PMID:30649463,MtrunA17Chr4g0062341,Medtr4g112310,Mt0001_01037,Mtr.17502.1.S1_at,
MtrunA17_Chr4g0064031,MtENODL25,#N/A,ENOD-like 25,PMID:30649463,MtrunA17Chr4g0064031,Medtr4g114830,Mt0001_10909,#N/A,
MtrunA17_Chr4g0069551,MtENODL26,#N/A,ENOD-like 26,PMID:30649463,MtrunA17Chr4g0069551,Medtr4g124280,Mt0001_10542,#N/A,
MtrunA17_Chr4g0073901,MtENODL27,#N/A,ENOD-like 27,PMID:30649463,MtrunA17Chr4g0073901,Medtr4g130780,Mt0001_10243,Mtr.17105.1.S1_at,
MtrunA17_Chr4g0073921,MtENODL28,#N/A,ENOD-like 28,PMID:30649463,MtrunA17Chr4g0073921,Medtr4g130800,Mt0001_10242,Mtr.17106.1.S1_at,
#N/A,MtENODL29,#N/A,ENOD-like 29,PMID:30649463,#N/A,Medtr5g087970,Mt0010_10484,Mtr.15235.1.S1_at,Medtr_v1_035637
MtrunA17_Chr1g0196801,MtENODL3,#N/A,ENOD-like 3,PMID:30649463,MtrunA17Chr1g0196801,Medtr1g090190,Mt0039_00071,#N/A,
MtrunA17_Chr5g0440711,MtENODL30,#N/A,ENOD-like 30,PMID:30649463,MtrunA17Chr5g0440711,Medtr5g088000,Mt0010_10485,Mtr.52049.1.S1_at,
MtrunA17_Chr5g0440791,MtENODL31,#N/A,ENOD-like 31,PMID:30649463,MtrunA17Chr5g0440791,Medtr5g088170,Mt0010_10489,#N/A,
MtrunA17_Chr5g0440804,MtENODL32,MtrunA17_Chr5g0440804,ENOD-like 32,PMID:30649463,MtrunA17Chr5g0440801,Medtr5g088180,Mt0010_10490,Mtr.22188.1.S1_s_at,
MtrunA17_Chr5g0441381,MtENODL33,#N/A,ENOD-like 33,PMID:30649463,MtrunA17Chr5g0441381,Medtr5g088990,Mt0010_00592,Msa.2731.1.S1_at,
MtrunA17_Chr6g0453791,MtENODL34,#N/A,ENOD-like 34,PMID:30649463,MtrunA17Chr6g0453791,Medtr6g013170,Mt0025_10292,#N/A,
MtrunA17_Chr6g0453801,MtENODL35,#N/A,ENOD-like 35,PMID:30649463,MtrunA17Chr6g0453801,Medtr6g013200,Mt0025_10293,Mtr.25731.1.S1_at,
MtrunA17_Chr6g0453921,MtENODL36,#N/A,ENOD-like 36,PMID:30649463,MtrunA17Chr6g0453921,Medtr6g013420,Mt0025_10305,Mtr.575.1.S1_at,
MtrunA17_Chr6g0458331,MtENODL37,#N/A,ENOD-like 37,PMID:30649463,MtrunA17Chr6g0458331,Medtr6g022170,Mt0033_00208,#N/A,
MtrunA17_Chr6g0459441,MtENODL38,#N/A,ENOD-like 38,PMID:30649463,MtrunA17Chr6g0459441,Medtr6g023760,Mt0033_00270,Mtr.5504.1.S1_at,
MtrunA17_Chr6g0481491,MtENODL39,#N/A,ENOD-like 39,PMID:30649463,MtrunA17Chr6g0481491,Medtr6g080660,Mt0014_00010,#N/A,
#N/A,MtENODL4,#N/A,ENOD-like 4,PMID:30649463,#N/A,Medtr1g090420,Mt0039_10087,#N/A,Medtr_v1_001866
MtrunA17_Chr7g0246301,MtENODL40,#N/A,ENOD-like 40,PMID:30649463,MtrunA17Chr7g0246301,Medtr7g075770,Mt0026_00402,Mtr.23750.1.S1_at,
MtrunA17_Chr7g0253631,MtENODL41,#N/A,ENOD-like 41,PMID:30649463,MtrunA17Chr7g0253631,Medtr7g086090,Mt0011_00443,Mtr.14511.1.S1_at,
MtrunA17_Chr7g0253641,MtENODL42,#N/A,ENOD-like 42,PMID:30649463,MtrunA17Chr7g0253641,Medtr7g086100,Mt0011_00442,Mtr.51106.1.S1_at,
MtrunA17_Chr7g0253711,MtENODL43,#N/A,ENOD-like 43,PMID:30649463,MtrunA17Chr7g0253711,Medtr7g086200,Mt0011_10410,Mtr.15630.1.S1_at,
MtrunA17_Chr7g0253741,MtENODL44,#N/A,ENOD-like 44,PMID:30649463,MtrunA17Chr7g0253741,Medtr7g086230,Mt0011_00435,#N/A,
MtrunA17_Chr7g0253761,MtENODL45,#N/A,ENOD-like 45,PMID:30649463,MtrunA17Chr7g0253761,Medtr7g086280,Mt0011_00430,Mtr.36994.1.S1_at,
MtrunA17_Chr7g0256441,MtENODL46,#N/A,ENOD-like 46,PMID:30649463,MtrunA17Chr7g0256441,Medtr7g090170,Mt0011_00246,Mtr.26279.1.S1_at,
MtrunA17_Chr8g0379081,MtENODL47,#N/A,ENOD-like 47,PMID:30649463,MtrunA17Chr8g0379081,Medtr8g086360,Mt0009_10081,Mtr.50678.1.S1_at,
MtrunA17_Chr8g0385021,MtENODL48,#N/A,ENOD-like 48,PMID:30649463,MtrunA17Chr8g0385021,Medtr8g094990,Mt0009_10475,Mtr.24049.1.S1_at,
MtrunA17_Chr8g0385031,MtENODL49,#N/A,ENOD-like 49,PMID:30649463,MtrunA17Chr8g0385031,Medtr8g095013,Mt0009_00474,Mtr.24051.1.S1_at,
MtrunA17_Chr2g0289741,MtENODL5,#N/A,ENOD-like 5,PMID:30649463,MtrunA17Chr2g0289741,Medtr2g025580,Mt0018_00044,Msa.1744.1.S1_at,
MtrunA17_Chr8g0385041,MtENODL50,#N/A,ENOD-like 50,PMID:30649463,MtrunA17Chr8g0385041,Medtr8g095020,Mt0009_00475,Mtr.450.1.S1_at,
MtrunA17_Chr8g0387804,MtENODL51,MtrunA17_Chr8g0387804,ENOD-like 51,PMID:30649463,MtrunA17Chr8g0387811,Medtr8g099220,Mt0009_10687,#N/A,
MtrunA17_Chr8g0360371,MtENODL52,#N/A,ENOD-like 52,PMID:30649463,MtrunA17Chr8g0360371,Medtr8g463180,Mt0034_00319,Mtr.12543.1.S1_at,
MtrunA17_Chr2g0317231,MtENODL6,#N/A,ENOD-like 6,PMID:30649463,MtrunA17Chr2g0317231,Medtr2g079030,Mt0027_10352,Mtr.33752.1.S1_at,
MtrunA17_Chr2g0319611,MtENODL7,#N/A,ENOD-like 7,PMID:30649463,MtrunA17Chr2g0319611,Medtr2g083250,Mt0019_00154,Mtr.19874.1.S1_at,
MtrunA17_Chr2g0323021,MtENODL8,#N/A,ENOD-like 8,PMID:30649463,MtrunA17Chr2g0323021,Medtr2g088990,Mt0019_00382,Mtr.2376.1.S1_at,
MtrunA17_Chr2g0324711,MtENODL9,#N/A,ENOD-like 9,PMID:30649463,MtrunA17Chr2g0324711,Medtr2g090575,Mt0019_10507,#N/A,
MtrunA17_Chr4g0038121,MtENR I,#N/A,Enoyl-ACP reductase I,PMID:28596307,MtrunA17Chr4g0038121,Medtr4g074950,Mt0003_01052,Mtr.8997.1.S1_at,Medtr_v1_025030
MtrunA17_Chr7g0234251,MtEPFL1,#N/A,Epidermal Patterning Factor-Like,PMID:29030416,MtrunA17Chr7g0234251,Medtr7g052120,Mt0022_10413,Mtr.33709.1.S1_at,Medtr_v1_043450
MtrunA17_Chr4g0018991,MtEPFL11,#N/A,Epidermal Patterning Factor-Like,PMID:29030416,MtrunA17Chr4g0018991,Medtr7g028475,#N/A,#N/A,Medtr_v1_074336
MtrunA17_Chr4g0019101,MtEPFL12,#N/A,Epidermal Patterning Factor-Like,PMID:29030416,MtrunA17Chr4g0019101,Medtr4g037115,Mt0061_00080,#N/A,Medtr_v1_099427
MtrunA17_Chr4g0054461,MtEPFL13,#N/A,Epidermal Patterning Factor-Like,PMID:29030416,MtrunA17Chr4g0054461,Medtr4g097720,Mt0001_11556,#N/A,#N/A
MtrunA17_Chr4g0063871,MtEPFL14,#N/A,Epidermal Patterning Factor-Like,PMID:29030416,MtrunA17Chr4g0063871,Medtr4g114660,Mt0001_10919,Mtr.24765.1.S1_at,Medtr_v1_027005
MtrunA17_Chr5g0400761,MtEPFL15,#N/A,Epidermal Patterning Factor-Like,PMID:29030416,MtrunA17Chr5g0400761,Medtr5g014840,Mt0005_10483,#N/A,Medtr_v1_030264
MtrunA17_Chr5g0432501,MtEPFL16,#N/A,Epidermal Patterning Factor-Like,PMID:29030416,MtrunA17Chr5g0432501,Medtr5g075160,Mt0008_10962,Mtr.8353.1.S1_at,Medtr_v1_034586
MtrunA17_Chr8g0342581,MtEPFL18,#N/A,Epidermal Patterning Factor-Like,PMID:29030416,MtrunA17Chr8g0342581,Medtr8g017850,Mt0028_00049,#N/A,Medtr_v1_048708
MtrunA17_Chr8g0381891,MtEPFL19,#N/A,Epidermal Patterning Factor-Like,PMID:29030416,MtrunA17Chr8g0381891,Medtr8g090010,Mt0009_00276,#N/A,Medtr_v1_076405
MtrunA17_Chr1g0204791,MtEPFL2,#N/A,Epidermal Patterning Factor-Like,PMID:29030416,MtrunA17Chr1g0204791,Medtr1g102940,Mt0046_10207,#N/A,Medtr_v1_074459
MtrunA17_Chr2g0299651,MtEPFL3,#N/A,Epidermal Patterning Factor-Like,PMID:29030416,MtrunA17Chr2g0299651,#N/A,Mt0055_10032,#N/A,Medtr_v1_011233
MtrunA17_Chr2g0311361,MtEPFL4,#N/A,Epidermal Patterning Factor-Like,PMID:29030416,MtrunA17Chr2g0311361,Medtr2g067510,Mt0077_00121,#N/A,Medtr_v1_081683
MtrunA17_Chr2g0324101,MtEPFL5,#N/A,Epidermal Patterning Factor-Like,PMID:29030416,MtrunA17Chr2g0324101,#N/A,Mt0019_10480,#N/A,#N/A
MtrunA17_Chr2g0330071,MtEPFL6,#N/A,Epidermal Patterning Factor-Like,PMID:29030416,MtrunA17Chr2g0330071,Medtr2g099810,Mt0016_10289,Mtr.20719.1.S1_at,Medtr_v1_013515
MtrunA17_Chr2g0333071,MtEPFL7,#N/A,Epidermal Patterning Factor-Like,PMID:29030416,MtrunA17Chr2g0333071,Medtr2g103780,Mt0016_10099,Mtr.15449.1.S1_at,Medtr_v1_013829
MtrunA17_Chr3g0123851,MtEPFL8,#N/A,Epidermal Patterning Factor-Like,PMID:29030416,MtrunA17Chr3g0123851,Medtr3g087020,Mt0006_10149,#N/A,Medtr_v1_018658
MtrunA17_Chr3g0140691,MtEPFL9,#N/A,Epidermal Patterning Factor-Like,PMID:29030416,MtrunA17Chr3g0140691,Medtr3g110550,Mt0040_00053,Mtr.49056.1.S1_at,#N/A
MtrunA17_Chr1g0186741,MtERF1,#N/A,ethylene response factor 1; TC105911 ,PMID:17249425,MtrunA17Chr1g0186741,Medtr1g074370,Mt0004_01061,Mtr.1494.1.S1_at,Medtr_v1_086853
MtrunA17_Chr7g0253424,MtERN1,MtrunA17_Chr7g0253424,ERF required for nodulation-1,PMID:17449807; PMID:17827349 ,MtrunA17Chr7g0253421,Medtr7g085810,Mt0011_00459,Mtr.35480.1.S1_at,#N/A
MtrunA17_Chr6g0461271,MtERN2,#N/A,ERF required for nodulation-2,PMID:17827349,MtrunA17Chr6g0461271,Medtr6g029180,Mt0033_10028,Mtr.43947.1.S1_at,Medtr_v1_038923
MtrunA17_Chr8g0378811,MtERN3,#N/A,ERF required for nodulation-3,PMID:17827349,MtrunA17Chr8g0378811,Medtr8g085960,Mt0009_00067,#N/A,Medtr_v1_051231
MtrunA17_Chr4g0013831,MtETR1,#N/A,ethylene receptor-like 1,PMID:31088345,MtrunA17Chr4g0013831,Medtr4g031150,Mt0014_10310,Mtr.32172.1.S1_at,Medtr_v1_023281
MtrunA17_Chr7g0269631,MtETR2,#N/A,ethylene receptor-like 2,PMID:31088345,MtrunA17Chr7g0269631,Medtr7g109150,Mt0067_00070,Mtr.10631.1.S1_at,Medtr_v1_046486
MtrunA17_Chr1g0168161,MtETR3,#N/A,ethylene receptor-like 3,PMID:31088345,MtrunA17Chr1g0168161,Medtr1g044210,Mt0236_10002,Mtr.32054.1.S1_at,Medtr_v1_077904
MtrunA17_Chr1g0186431,MtETR4,#N/A,ethylene receptor-like 4,PMID:31088345,MtrunA17Chr1g0186431,Medtr1g073840,Mt0004_01036,Mtr.10165.1.S1_at,Medtr_v1_076096
MtrunA17_Chr1g0190021,MtETR5,#N/A,ethylene receptor-like 5,PMID:31088345,MtrunA17Chr1g0190021,Medtr1g079790,Mt0004_00073,Mtr.39020.1.S1_at,Medtr_v1_006325
MtrunA17_Chr7g0274831,MtETR6,#N/A,ethylene receptor-like 6,PMID:31088345,MtrunA17Chr7g0274831,Medtr7g116330,Mt0036_00232,#N/A,Medtr_v1_046989
MtrunA17_Chr4g0057561,MtEXO70,#N/A,exocyst complex component,PMID:22683509,MtrunA17Chr4g0057561,Medtr4g103540,Mt0001_11345,Mtr.41744.1.S1_at,Medtr_v1_026537
MtrunA17_Chr1g0152401,MtEXO70l,#N/A,EXOCYST complex component,PMID:26234213,MtrunA17Chr1g0152401,Medtr1g017910,Mt0002_10427,Mtr.15548.1.S1_at,Medtr_v1_004530
MtrunA17_Chr5g0398271,MtEXP7,#N/A,expansin7,PMID:21223389,MtrunA17Chr5g0398271,Medtr5g011210,Mt0005_10317,Mtr.31597.1.S1_at,Medtr_v1_029940
MtrunA17_Chr3g0094231,MtF3'5'H-1,#N/A,"Flavonoid 3',5'-hydroxylase ",PMID:25922487,MtrunA17Chr3g0094231,Medtr3g436390,Mt0091_00080,Mtr.29340.1.S1_at,Medtr_v1_001493
MtrunA17_Chr8g0334831,MtF3'5'H-2,#N/A,Flavonoid 3'-monooxygenase ,PMID:25922487,MtrunA17Chr8g0334831,Medtr8g006220,Mt0015_10043,#N/A,Medtr_v1_048315
MtrunA17_Chr3g0114861,MtF3H-1,#N/A,Flavonol synthase/flavanone 3-hydroxylase ,PMID:25922487,MtrunA17Chr3g0114861,Medtr3g072810,Mt0006_00751,Mtr.14017.1.S1_at,Medtr_v1_017848
MtrunA17_Chr3g0086661,MtF3H-2,#N/A,Flavonoid 3'-monooxygenase ,PMID:25922487,MtrunA17Chr3g0086661,Medtr3g025230,Mt0043_00038,#N/A,Medtr_v1_015832
MtrunA17_Chr1g0176051,MtFAR2,#N/A,fatty acyl-CoA reductase; Suberin biosynthesis,PMID:25922487,MtrunA17Chr1g0176051,#N/A,#N/A,#N/A,Medtr_v1_079592
MtrunA17_Chr1g0208941,MtFatM,#N/A,palmitoyl-ACP thioesterase,PMID:28596311,MtrunA17Chr1g0208941,Medtr1g109110,Mt0029_00048,#N/A,Medtr_v1_079532
MtrunA17_Chr6g0479181,MtFCL1,#N/A,fused compound leaf1; class M KNOX,PMID:22080596,MtrunA17Chr6g0479181,Medtr6g071190,Mt0042_00089,Mtr.28293.1.S1_at,Medtr_v1_039862
MtrunA17_Chr3g0137321,MtFLOT1,#N/A,Flotillin 1; BF644444,PMID:20018678,MtrunA17Chr3g0137321,Medtr3g106480,Mt0007_10896,Mtr.5691.1.S1_at,Medtr_v1_019974
MtrunA17_Chr3g0137261,MtFLOT2,#N/A,Flotillin 2; EX527915,PMID:20018678,MtrunA17Chr3g0137261,Medtr3g106420,Mt0007_10893,#N/A,#N/A
MtrunA17_Chr3g0137341,MtFLOT3,#N/A,Flotillin 3; TC139669,PMID:20018678,MtrunA17Chr3g0137341,Medtr3g106485,Mt0007_10897,Mtr.45231.1.S1_at,#N/A
MtrunA17_Chr3g0137271,MtFLOT4,#N/A,Flotillin 4; TC133140,PMID:20018678,MtrunA17Chr3g0137271,Medtr3g106430,Mt0007_10895,Mtr.11786.1.S1_at,Medtr_v1_019970
MtrunA17_Chr3g0137301,MtFLOT5,#N/A,Flotillin 5; TC126348,PMID:20018678,MtrunA17Chr3g0137301,Medtr3g106470,Mt0007_10895,#N/A,#N/A
MtrunA17_Chr1g0192071,MtFLOT6,#N/A,Flotillin 6; AW574030,PMID:20018678,MtrunA17Chr1g0192071,Medtr1g083190,Mt0004_10235,Mtr.3447.1.S1_at,Medtr_v1_006521
MtrunA17_Chr6g0461061,MtFLOT7,#N/A,Flotillin 7; TC117648,PMID:20018678,MtrunA17Chr6g0461061,Medtr6g027840,Mt0033_10061,Mtr.39050.1.S1_at,Medtr_v1_077183
MtrunA17_Chr4g0051961,MtFLS2,#N/A,FLAGELLIN-SENSING 2; LRR receptor-like serine/threonine-protein kinase ,PMID:27245091,MtrunA17Chr4g0051961,Medtr4g094610,Mt0001_01837,Mtr.44178.1.S1_at,Medtr_v1_026235
MtrunA17_Chr4g0051961,MtFLS2‐like,#N/A,FLAGELLIN SENSING 2-like,PMID:27245091,MtrunA17Chr4g0051961,Medtr4g094610,Mt0001_01837,Mtr.44178.1.S1_at,Medtr_v1_026235
UNDEF,MtFPN1,#N/A,ferroportin 1,PMID:32367515,UNDEF,Medtr1g084140 ,,,
MtrunA17_Chr4g0004871,MtFPN2,#N/A,ferroportin 2,PMID:32367515,MtrunA17Chr4g0004871,Medtr4g013240,Mt0045_10232,Mtr.13413.1.S1_at,Medtr_v1_070939
MtrunA17_Chr4g0004881,MtFPN3,#N/A,ferroportin 3,PMID:32367515,MtrunA17Chr4g0004881,Medtr4g013245,Mt0045_10231,#N/A,Medtr_v1_069372; Medtr_v1_070937
MtrunA17_Chr8g0348521,MtFRO1,#N/A,Ferric Reduction Oxidase1,PMID:25818701,MtrunA17Chr8g0348521,Medtr8g028780,Mt0046_10059,Mtr.11719.1.S1_at,Medtr_v1_043162
MtrunA17_Chr4g0056501,MtFRUCT2,#N/A,soluble acid invertase FRUCT2,PMID:31591150,MtrunA17Chr4g0056501,Medtr4g101630,Mt0001_11412,Mtr.6527.1.S1_at,
MtrunA17_Chr1g0204181,MtGA20ox,#N/A,Gibberellin 20 oxidase; gibberellin biosynthesis,PMID:27586842,MtrunA17Chr1g0204181,Medtr1g102070,Mt0053_00191,Mtr.24203.1.S1_at,Medtr_v1_007647
MtrunA17_Chr6g0474391,MtGA20ox1,#N/A,Gibberellin 20 oxidase; gibberellin biosynthesis,PMID:30976084,MtrunA17Chr6g0474391,Medtr6g464620,Mt0104_00004,#N/A,Medtr_v1_025780
MtrunA17_Chr1g0191201,MtGA20ox2,#N/A,Gibberellin 20 oxidase; gibberellin biosynthesis,PMID:30976084,MtrunA17Chr1g0191201,Medtr1g081840,Mt0004_00147,#N/A,Medtr_v1_025783
MtrunA17_Chr1g0204181,MtGA20ox3,#N/A,Gibberellin 20 oxidase; gibberellin biosynthesis,PMID:30976084,MtrunA17Chr1g0204181,Medtr1g102070,Mt0053_00191,Mtr.24203.1.S1_at,Medtr_v1_031131
MtrunA17_Chr3g0125421,MtGA20ox4,#N/A,Gibberellin 20 oxidase; gibberellin biosynthesis,PMID:30976084,MtrunA17Chr3g0125421,Medtr3g088745,Mt0006_10036,#N/A,#N/A
MtrunA17_Chr3g0130391,MtGA20ox5,#N/A,Gibberellin 20 oxidase; gibberellin biosynthesis,PMID:30976084,MtrunA17Chr3g0130391,Medtr3g096500,Mt0007_10416,#N/A,Medtr_v1_025781
MtrunA17_Chr8g0351101,MtGA20ox6,#N/A,Gibberellin 20 oxidase; gibberellin biosynthesis,PMID:30976084,MtrunA17Chr8g0351101,Medtr8g033380,Mt0037_10009,Mtr.11145.1.S1_at,Medtr_v1_071700
MtrunA17_Chr2g0285931,MtGA2ox,#N/A,Gibberellin 2-beta-dioxygenase; gibberellin homeostasis (inactivation),PMID:27586842,MtrunA17Chr2g0285931,Medtr2g019370,Mt0079_10003,Mtr.32124.1.S1_at,Medtr_v1_009951
MtrunA17_Chr2g0313111,MtGA2ox1,#N/A,Gibberellin C20-GA2-oxidase 1 (GA inactivation),PMID:30976084,MtrunA17Chr2g0313111,Medtr2g070870,Mt0048_00235,Mtr.38883.1.S1_at,Medtr_v1_048776
MtrunA17_Chr4g0037611,MtGA2ox10,#N/A,Gibberellin C20-GA2-oxidase 10  (GA inactivation),PMID:30976084,MtrunA17Chr4g0037611,Medtr4g074130,Mt0003_01013,#N/A,#N/A
MtrunA17_Chr5g0394071,MtGA2ox11,#N/A,Gibberellin C20-GA2-oxidase 11  (GA inactivation),PMID:30976084,MtrunA17Chr5g0394071,Medtr5g005570,Mt0005_10057,Mtr.52127.1.S1_at,Medtr_v1_082708
MtrunA17_Chr7g0233661,MtGA2ox12,#N/A,Gibberellin C20-GA2-oxidase 12  (GA inactivation),PMID:30976084,MtrunA17Chr7g0233661,Medtr7g451860,Mt0022_00492,Mtr.48621.1.S1_at,Medtr_v1_029438
#N/A,MtGA2ox13,#N/A,Gibberellin C20-GA2-oxidase 13  (GA inactivation),PMID:30976084,#N/A,Medtr7g047670,#N/A,Mtr.48621.1.S1_at,Medtr_v1_074496
MtrunA17_Chr2g0285931,MtGA2OX2,#N/A,GIBBERELLIN 2-OXIDASE 2 ,PMID:25527707,MtrunA17Chr2g0285931,Medtr2g019370,Mt0079_10003,Mtr.32124.1.S1_at,Medtr_v1_009951
MtrunA17_Chr8g0358941,MtGA2ox2,#N/A,Gibberellin C20-GA2-oxidase 2  (GA inactivation),PMID:30976084,MtrunA17Chr8g0358941,Medtr8g461330,Mt0125_10028,Mtr.33914.1.S1_at,Medtr_v1_061018
MtrunA17_Chr4g0052251,MtGA2ox3,#N/A,Gibberellin C20-GA2-oxidase 3  (GA inactivation),PMID:30976084,MtrunA17Chr4g0052251,Medtr4g096840,Mt0001_11713,Mtr.14325.1.S1_at,Medtr_v1_083540
MtrunA17_Chr2g0285931,MtGA2ox4,#N/A,Gibberellin C20-GA2-oxidase 4  (GA inactivation),PMID:30976084,MtrunA17Chr2g0285931,Medtr2g019370,Mt0079_10003,Mtr.32124.1.S1_at,Medtr_v1_026223
#N/A,MtGA2ox5,#N/A,Gibberellin C20-GA2-oxidase 5  (GA inactivation),PMID:30976084,#N/A,Medtr2g033270,#N/A,#N/A,Medtr_v1_009951
