,"Supplementary Dataset 1. List of functionally-validated SNF genes in legumes. Roy et al. (2019). Plant Cell 10.1105/tpc.19.00279. Table shows genes validated by mutational analyses (RNAi, antisense, Tnt1, LORE1, EMS mutagenesis, Y-ray mutagenesis, CRISPR-Cas9, etc). Involvement in different stages of nodulation and nitrogen fixation are indicated by Nod +/-; Inf +/- and fix +/- identifiers for which the key is provided in a separate tab labelled 'Key'. All sequences are provided in a separate tab labelled 'Sequences'. Genes with overexpression phenotypes or expression data alone were not included. Phenotypes associated with lines where multiple genes have been knocked down or edited are entered only once. Each reference indicates the first study describing a mutant in which the gene was identified and the genes are annotated with the two letter code to the corresponding species. The full table with orthology information and gene identifiers can be found at https://nobleapps.noble.org/LegumeGenetics",,,,,,,,,,,,,,,
LjCYCLOPS (MtIPD3),Inf-,Nod*,n/a,"Yano et al., 2008",Transcriptional activator,INTERACTING PROTEIN DMI 3,Ljcyclops,EMS-Tilling,Medtr5g026850,"Mtr.42174.1.S1_at, Mtr.29567.1.S1_at, Mtr.3453.1.S1_s_at",Lj2g3v1549600,Glyma.01G149500,Phvul.002G128600,Myc+/-,,"Yano, K., Yoshida, S., Müller, J., Singh, S., Banba, M., Vickers, K., Markmann, K., White, C., Schuller, B., and Sato, S. (2008). CYCLOPS, a mediator of symbiotic intracellular accommodation. Proceedings of the National Academy of Sciences 105, 20540-20545."
MtIPD3L,Inf-,Nod-,n/a,"Jin et al., 2018",Transcriptional activator,INTERACTING PROTEIN DMI 3 LIKE(IPD3/IPD3L),,Tnt1,MT35v5_contig_51603_1,-,-,-,-,Myc+,,"Jin, Y., Liu, H., Luo, D., Yu, N., Dong, W., Wang, C., Zhang, X., Dai, H., Yang, J., and Wang, E. (2016). DELLA proteins are common components of symbiotic rhizobial and mycorrhizal signalling pathways. Nature Communications 7, 12433."
MtCYP15a,n/a,Nod*,Fix*,"Sheokand S., et al., 2005",Enzyme (Cysteine protease),CYSTEINE PROTEASE 15a (CYP15a),,Antisense,Medtr1g023210,Mtr.12217.1.S1_at,Lj1g3v2140860,Glyma.17G254900,Phvul.001G009900,n/a,,"Sheokand, S., Dahiya, P., Vincent, J., and Brewin, N. (2005). Modified expression of cysteine protease affects seed germination, vegetative growth and nodule development in transgenic lines of Medicago truncatula. Plant Science 169, 966-975."
MtDELLA1,Inf+/-,Nod+/-,n/a,"Fonouni-Farde et al., 2016; Jin et al., 2016",Transcriptional regulator (D-E-L-L-A motif),DELLA 1,PsLA,Tnt1,Medtr3g065980,Mtr.31658.1.S1_s_at,Lj6g3v0433880.1,"Glyma.11G216500, Glyma.18G040000",Phvul.001G230500,n/a (Myc+/- della1 della 2),,"Fonouni-Farde, C., Tan, S., Baudin, M., Brault, M., Wen, J., Mysore, K.S., Niebel, A., Frugier, F., and Diet, A. (2016). DELLA-mediated gibberellin signalling regulates Nod factor signalling and rhizobial infection. Nature communications 7, 12636.; Jin, Y., Liu, H., Luo, D., Yu, N., Dong, W., Wang, C., Zhang, X., Dai, H., Yang, J., and Wang, E. (2016). DELLA proteins are common components of symbiotic rhizobial and mycorrhizal signalling pathways. Nature Communications 7, 12433."
MtDELLA2,Inf+/-,Nod+/-,n/a,"Fonouni-Farde et al., 2016; Jin et al., 2016",Transcriptional regulator (D-E-L-L-A motif),DELLA 2,PsCRY,Tnt1,MT35v5_contig_52215_1,-,Lj4g3v2436020.1,"Glyma.05G140400, Glyma.08G095800",Phvul.003G291500,n/a (Myc+/- della1 della 2),,"Fonouni-Farde, C., Tan, S., Baudin, M., Brault, M., Wen, J., Mysore, K.S., Niebel, A., Frugier, F., and Diet, A. (2016). DELLA-mediated gibberellin signalling regulates Nod factor signalling and rhizobial infection. Nature communications 7, 12636.; Jin, Y., Liu, H., Luo, D., Yu, N., Dong, W., Wang, C., Zhang, X., Dai, H., Yang, J., and Wang, E. (2016). DELLA proteins are common components of symbiotic rhizobial and mycorrhizal signalling pathways. Nature Communications 7, 12433."
MtDELLA3,Inf+/-,Nod+/-,n/a,"Fonouni-Farde et al., 2016; Jin et al., 2016",Transcriptional regulator (D-E-L-L-A motif),DELLA 3,,Tnt1,MT35v5_contig_55897_1,-,Lj6g3v0959470.1,"Glyma.04G150500, Glyma.06G213100, Glyma.10G190200, Glyma.20G200500",Phvul.007G131200,n/a,,"Fonouni-Farde, C., Tan, S., Baudin, M., Brault, M., Wen, J., Mysore, K.S., Niebel, A., Frugier, F., and Diet, A. (2016). DELLA-mediated gibberellin signalling regulates Nod factor signalling and rhizobial infection. Nature communications 7, 12636.; Jin, Y., Liu, H., Luo, D., Yu, N., Dong, W., Wang, C., Zhang, X., Dai, H., Yang, J., and Wang, E. (2016). DELLA proteins are common components of symbiotic rhizobial and mycorrhizal signalling pathways. Nature Communications 7, 12433."
MtDME,Inf+,"Nod+, Nod*, White++",Fix+/-,"Carine Satgé et al., 2016",Enzyme (DNA glycosylase),DEMETER (DME),,RNAi,Medtr1g492760,-,Lj5g3v1769410,Glyma.20G188300,Phvul.007G223600,n/a,,"Satge, C., Moreau, S., Sallet, E., Lefort, G., Auriac, M.-C., Rembliere, C., Cottret, L., Gallardo, K., Noirot, C., and Jardinaud, M.-F. (2016). Reprogramming of DNA methylation is critical for nodule development in Medicago truncatula. Nature plants 2, 16166."
MtDMI1(LjPOLLUX),Inf-,Nod-,Fix-,"Ane et al., 2004",Channel (Cations),DOES NOT MAKE Infections 1 (DMI1),"Ljcastor, Ljpollux, Pssym8","EMS mutagenesis, Tnt1 (Peiter et al., 2007)",Medtr2g005870,Mtr.124.1.S1_s_at; Mtr.19417.1.S1_at,"Lj6g3v2275020, Lj6g3v2275010",Glyma.12G167300,Phvul.006G218700,Myc-,,"Ané, J.-M., Kiss, G.B., Riely, B.K., Penmetsa, R.V., Oldroyd, G.E., Ayax, C., Lévy, J., Debellé, F., Baek, J.-M., and Kalo, P. (2004). Medicago truncatula DMI1 required for bacterial and fungal symbioses in legumes. Science 303, 1364-1367."
LjCASTOR,Inf-,Nod-,n/a,"Imaizumi-Anraku et al., 2005",Channel (Cations),DOES NOT MAKE Infections 1 (DMI1),,EMS- Tilling,-,-,"Lj6g3v2275020, Lj6g3v2275010",Glyma.12G167300,Phvul.006G218700,Myc-,,"Imaizumi-Anraku, H., Takeda, N., Charpentier, M., Perry, J., Miwa, H., Umehara, Y., Kouchi, H., Murakami, Y., Mulder, L., and Vickers, K. (2005). Plastid proteins crucial for symbiotic fungal and bacterial entry into plant roots. Nature 433, 527."
LjSYMRK,Inf-,Nod-,Fix-,"Stracke et al., 2002",Enzyme (Kinase; LRR-RLK),SYMBIOTIC RECEPTOR KINASE (SYMRK)/DOES NOT MAKE Infections 2 (DMI2),"Ljsymrk (symbiotic receptor kinase), Msnork (nodulation receptor kinase; Pssym19","EMS mutagenesis, LATER: y ray, Tnt1",Medtr5g030920,Mtr.51192.1.S1_at,Lj2g3v1467920,"Glyma.01G020100, Glyma.09G202300","Phvul.002G143400, Phvul.002G116200",Myc-,,"Stracke, S., Kistner, C., Yoshida, S., Mulder, L., Sato, S., Kaneko, T., Tabata, S., Sandal, N., Stougaard, J., and Szczyglowski, K. (2002). A plant receptor-like kinase required for both bacterial and fungal symbiosis. Nature 417, 959."
MtCCaMK (L.O.F),Inf-,Nod-,Fix-,"Levy et al., 2004; Mitra et al., 2004",Kinase (Calcium/Calmodulin dependent),CALCIUM CALMODULIN KINASE (CCaMK)/DOES NOT MAKE Infections 3 (DMI3),Pssym9,EMS mutagenesis,Medtr8g043970,Mtr.8930.1.S1_at,Lj3g3v1739280,Glyma.15G222300,Phvul.011G186900,Myc-,,"Lévy, J., Bres, C., Geurts, R., Chalhoub, B., Kulikova, O., Duc, G., Journet, E.-P., Ané, J.-M., Lauber, E., and Bisseling, T. (2004). A putative Ca2+ and calmodulin-dependent protein kinase required for bacterial and fungal symbioses. Science 303, 1361-1364.; Mitra, R.M., Gleason, C.A., Edwards, A., Hadfield, J., Downie, J.A., Oldroyd, G.E., and Long, S.R. (2004). A Ca2+/calmodulin-dependent protein kinase required for symbiotic nodule development: gene identification by transcript-based cloning. Proceedings of the National Academy of Sciences 101, 4701-4705."
LjCCaMK (G.O.F),Inf-,White++ (spontaneous),n/a,"Tirichine et al., 2006",Kinase (Calcium/Calmodulin dependent),CALCIUM CALMODULIN KINASE (CCaMK)/DOES NOT MAKE Infections 3 (DMI3),Lsnf1 (spontaneous nodule formation1),EMS mutagenesis,Medtr8g043970,Mtr.8930.1.S1_at,Lj3g3v1739280,Glyma.15G222300,Phvul.011G186900,n/a,,"Tirichine, L., Imaizumi-Anraku, H., Yoshida, S., Murakami, Y., Madsen, L.H., Miwa, H., Nakagawa, T., Sandal, N., Albrektsen, A.S., and Kawaguchi, M. (2006). Deregulation of a Ca 2+/calmodulin-dependent kinase leads to spontaneous nodule development. Nature 441, 1153."
MtDGD1,n/a,Nod+/-,Fix+/-,"Si et al., 2019",Enzyme (Digalactosyldiacylglycerol (DGDG) synthase),Digalactosyldiacylglycerol (DGDG) synthase 1,,RNAi,Medtr7g106250,Mtr.9086.1.S1_at, Lj0g3v0297149,"Glyma.03G202100, Glyma.19G200000",Phvul.001G195600,n/a,,"Si, Z., Yang, Q., Liang, R., Chen, L., Chen, D., Li, Y. (2019). Digalactosyldiacylglycerol Synthase Gene MtDGD1 Plays an Essential Role in Nodule Development and Nitrogen Fixation. Mol Plant Microbe Interact: MPMI11180322R"
MtDNF1,n/a,"Nod*, White++","Fix-, Fix*","Wang et al., 2010; Van de Velde et al., 2010",Signal peptidase complex subunit,DEFECTIVE IN Nitrogen Fixation1 (DNF1),,FNB,Medtr3g027890,Mtr.43876.1.S1_at,Lj1g3v4931800,Glyma.10G156000,Phvul.001G228900,n/a,,"Wang, D., Griffitts, J., Starker, C., Fedorova, E., Limpens, E., Ivanov, S., Bisseling, T., and Long, S. (2010). A nodule-specific protein secretory pathway required for nitrogen-fixing symbiosis. Science 327, 1126-1129., Van de Velde, W., Zehirov, G., Szatmari, A., Debreczeny, M., Ishihara, H., Kevei, Z., Farkas, A., Mikulass, K., Nagy, A., and Tiricz, H. (2010). Plant peptides govern terminal differentiation of bacteria in symbiosis. Science 327, 1122-1126."
MtDNF2,n/a,"Nod++, White++","Fix-, Fix*","Bourcy et al., 2014",Enzyme (Phosphatidylinositol phospholipase C‐like),DEFECTIVE IN Nitrogen Fixation2 (DNF2),,"FNB, Tnt1",Medtr4g085800,Mtr.630.1.S1_at,-,Glyma.02G102700,Phvul.003G048300,n/a,,"Bourcy, M., Brocard, L., Pislariu, C.I., Cosson, V., Mergaert, P., Tadege, M., Mysore, K.S., Udvardi, M.K., Gourion, B., and Ratet, P. (2013). Medicago truncatula DNF2 is a PI‐PLC‐XD‐containing protein required for bacteroid persistence and prevention of nodule early senescence and defense‐like reactions. New Phytologist 197, 1250-1261."
MtDNF4,n/a,"Nod*, White++",Fix*,"Kim et al., 2015",Peptide (Cysteine-rich),DEFECTIVE IN Nitrogen Fixation4 (DNF4),NCR211,FNB,Medtr4g035705,-,-,-,-,n/a,,"Kim, M., Chen, Y., Xi, J., Waters, C., Chen, R., and Wang, D. (2015). An antimicrobial peptide essential for bacterial survival in the nitrogen-fixing symbiosis. Proceedings of the National Academy of Sciences 112, 15238-15243."
MtDNF7,n/a,"Nod*, White++","Fix-, Fix*","Horvath et al, 2015",Peptide (Cysteine-rich),DEFECTIVE IN Nitrogen Fixation7 (DNF7),NCR167,FNB,Medtr7g029760,Mtr.3210.1.S1_at,-,-,-,n/a,,"Horváth, B., Domonkos, Á., Kereszt, A., Szűcs, A., Ábrahám, E., Ayaydin, F., Bóka, K., Chen, Y., Chen, R., and Murray, J.D. (2015). Loss of the nodule-specific cysteine rich peptide, NCR169, abolishes symbiotic nitrogen fixation in the Medicago truncatula dnf7 mutant. Proceedings of the National Academy of Sciences 112, 15232-15237."
MtEFD,Inf++,Nod++,n/a,"Vernie et al., 2008",TF (Ethylene response factor),ETHYLENE RESPONSE FACTOR REQUIRED FOR NODULE DIFFERENTIATION (EFD),,Deletion TILLING,Medtr4g008860,Mtr.41581.1.S1_at,Lj3g3v0014470,"Glyma.08G216600, Glyma.07G025800",Phvul.010G159500,Myc+,,"Vernié, T., Moreau, S., De Billy, F., Plet, J., Combier, J.-P., Rogers, C., Oldroyd, G., Frugier, F., Niebel, A., and Gamas, P. (2008). EFD is an ERF transcription factor involved in the control of nodule number and differentiation in Medicago truncatula. The Plant Cell 20, 2696-2713."
MtSKL(LjEIN2a),Inf++,Nod++,n/a,"Penmetsa et al., 2008",NRAMP Protein,ETHYLENE INSENSITIVE 2 (EIN2a),Mtskl (sickle),EMS,Medtr0041s0030,Mtr.9302.1.S1_at,Lj1g3v4590690,Glyma.03G181400,Phvul.001G177500,Myc++,,"Varma Penmetsa, R., Uribe, P., Anderson, J., Lichtenzveig, J., Gish, J.C., Nam, Y.W., Engstrom, E., Xu, K., Sckisel, G., and Pereira, M. (2008). The Medicago truncatula ortholog of Arabidopsis EIN2, sickle, is a negative regulator of symbiotic and pathogenic microbial associations. The Plant Journal 55, 580-595."
LjEIN2b,Inf++,Nod++,Fix-/-,"Reid et al., 2018",NRAMP Protein,ETHYLENE INSENSITIVE 2 (EIN2a/EIN2b),,LORE1,-,-,Lj5g3v0659810,"Glyma.13G145100, Glyma.10G058300 ",Phvul.007G150600,n/a,,"Reid, D., Liu, H., Kelly, S., Kawaharada, Y., Mun, T., Andersen, S.U., Desbrosses, G., and Stougaard, J. (2018). Dynamics of ethylene production in response to compatible Nod factor. Plant physiology 176, 1764-1772."
LjENOD40-1/ENOD40-2,Inf+,Nod+/-,n/a,"Kumagai et al., 2006",Peptide,EARLY NODULIN 40,,RNAi,"MT4Noble_057132, Medtr8g069785",-,Lj3g3v3599510,Glyma.01G028500,Phvul.002G064232,n/a,,"Kumagai, H., Kouchi, H., Kinoshita, E., and Ridge, R.W. (2006). RNAi Knock-Down of ENOD40 s Leads to Significant Suppression of Nodule Formation in Lotus japonicus. Plant and Cell Physiology 47, 1102-1111."
GmENOD93,n/a,"Nod+/-, Nod*",n/a,"Yan et al., 2015",Membrane protein ,EARLY NODULIN 93,,LORE1,-,-,-,Glyma.06G247600,-,n/a,,"Yan, Z., Hossain, M.S., Arikit, S., Valdés‐López, O., Zhai, J., Wang, J., Libault, M., Ji, T., Qiu, L., and Meyers, B.C. (2015). Identification of microRNAs and their mRNA targets during soybean nodule development: functional analysis of the role of miR393j‐3p in soybean nodulation. New Phytologist 207, 748-759."
LjEPR3,"Inf+/-, Inf*",Nod*,n/a,"Kawaharada et al., 2015",Enzyme (Kinase; LysM-RLK),EXOPOLYSACCHARIDE RECEPTOR (EPR3),"Ljlys3, Ljexo277,MtLYK10",LORE1,Medtr5g033490,Mtr.25148.1.S1_at,Lj2g3v1415410,Glyma.08G283300,"Phvul.002G059500, Pv03g003063700",n/a,,"Kawaharada, Y., Kelly, S., Nielsen, M.W., Hjuler, C.T., Gysel, K., Muszyński, A., Carlson, R., Thygesen, M.B., Sandal, N., and Asmussen, M. (2015). Receptor-mediated exopolysaccharide perception controls bacterial infection. Nature 523, 308."
LjERF1,n/a,Nod+/-,n/a,"Asamizu et al., 2008",TF (Ethylene responsive),ETHYLENE RESPONSE FACTOR 1 (ERF1),,RNAi,Medtr1g074370,Mtr.39861.1.S1_at,Lj5g3v1167370,Glyma.20G203700,Phvul.007G127800,n/a,,"Asamizu, E., Shimoda, Y., Kouchi, H., Tabata, S., and Sato, S. (2008). A positive regulatory role for LjERF1 in the nodulation process is revealed by systematic analysis of nodule-associated transcription factors of Lotus japonicus. Plant physiology 147, 2030-2040."
MtERN1,"Inf+/-, Inf*","Nod-, Nod*",n/a,"Middleton et al., 2007",TF (Ethylene responsive),ETHYLENE RESPONSE FACTOR REQUIRED FOR NODULATION1 (ERN1),"Mtbit1 (branched Infection thread, poodle",Fast Neutron mutagenesis,Medtr7g085810,Mtr.7556.1.S1_at,Lj1g3v3975310,Glyma.19G113100,Phvul.001G111800,Myc+,,"Middleton, P.H., Jakab, J., Penmetsa, R.V., Starker, C.G., Doll, J., Kaló, P., Prabhu, R., Marsh, J.F., Mitra, R.M., and Kereszt, A. (2007). An ERF transcription factor in Medicago truncatula that is essential for Nod factor signal transduction. The Plant Cell 19, 1221-1234."
MtERN2,"Inf+, Inf*","Nod+, Nod*","Fix+, Fix*","Cerri et al., 2016",TF (Ethylene responsive),ETHYLENE RESPONSE FACTOR REQUIRED FOR NODULATION2 (ERN2),,"TILLING, Tnt1",Medtr6g029180,Mtr.43947.1.S1_at,-,"Glyma.16G154100, Glyma.02G072800",Phvul.001G160100,Myc+,,"Cerri, M.R., Frances, L., Kelner, A., Fournier, J., Middleton, P.H., Auriac, M.-C., Mysore, K.S., Wen, J., Erard, M., and Barker, D.G. (2016). The symbiosis-related ERN transcription factors act in concert to coordinate rhizobial host root infection. Plant physiology 171, 1037-1054."
MtEXO70H4,"Inf+/-, Inf*",Nod+,n/a,"Liu et al., 2019",Membrane protein (Exocyst complex subunit),EXOCYST70H4,,Tnt1,Medtr4g062330,Mtr.21216.1.S1_at,Lj0g3v0313429,"Glyma.11G144600, Glyma.12G075200","Phvul.011G068800, Phvul.L003900",n/a,,"Liu, C.W, Breakspear, A., Stacey, N., Findlay, K., Nakashima A., Ramakrishnan, K., Endre, A., de Carvalho-Niebel, F., Oldroyd, G.E.D, Udvardi, M.K., Fournier, J., Murray, J.D The infectosome is required for polar growth of rhizobial infection threads Nature Comms. 2019"
GmEXPB2,n/a,"Nod+/-, Nod*",Fix+/-,"Li et al., 2015",Expansin,β-EXPANSIN B2 (EXPB2),,RNAi,Medtr0118s0070,Mtr.33549.1.S1_at,Lj5g3v0642670.1,Glyma.10G122300,Phvul.008G144100,n/a,,"Li, X., Zhao, J., Tan, Z., Zeng, R., and Liao, H. (2015). GmEXPB2, a cell wall β-expansin, affects soybean nodulation through modifying root architecture and promoting nodule formation and development. Plant Physiology 169, 2640-2653."
LjFEN1,Inf+,Nod*,Fix-,"Hakoyama et al., 2009",Enzyme (Homocitrate Synthase),FAIL IN ENLARGEMENT of infection CELLS (FEN1),,EMS mutagenesis,-,-,"Lj1g3v3690180, Lj1g3v3690020","Glyma.19g120400, Glyma.19g120600, Glyma.03g005700",Phvul.007G004600,n/a,,"Hakoyama, T., Niimi, K., Watanabe, H., Tabata, R., Matsubara, J., Sato, S., Nakamura, Y., Tabata, S., Jichun, L., and Matsumoto, T. (2009). Host plant genome overcomes the lack of a bacterial gene for symbiotic nitrogen fixation. Nature 462, 514."
MtFER2,n/a,Nod+,Fix+/-,"Dhanushkodi et al., 2018",Protein complex (Iron scavenging),FERRITINS (FER2/FER3),,RNAi,Medtr5g083170,Mtr.12355.1.S1_at,Lj2g3v2806680,Glyma.02G262500,Phvul.001G245700,n/a,,"Dhanushkodi, R., Matthew, C., McManus, M.T., and Dijkwel, P.P. (2018). Drought-induced senescence of Medicago truncatula nodules involves serpin and ferritin to control proteolytic activity and iron levels. New Phytol 220, 196-208."
MtFER3,n/a,Nod+,Fix+/-,"Dhanushkodi et al., 2018",Protein complex (Iron scavenging),FERRITINS (FER2/FER3),,RNAi,Medtr4g014540,Msa.1670.1.S1_at,Lj3g3v1378250,Glyma.03G050100,Phvul.010G065600,n/a,,"Dhanushkodi, R., Matthew, C., McManus, M.T., and Dijkwel, P.P. (2018). Drought-induced senescence of Medicago truncatula nodules involves serpin and ferritin to control proteolytic activity and iron levels. New Phytol 220, 196-208."
MtFLOT2,Inf+/-,Nod+/-,Fix+/-,"Haney et al., 2010",Membrane protein,FLOTILLIN 2 (FLOT2),,RNAi,Medtr3g106420,-,Lj1g3v1854330,Glyma.06G065600,Phvul.009G090700,n/a,,"Haney, C.H., and Long, S.R. (2010). Plant flotillins are required for infection by nitrogen-fixing bacteria. Proc Natl Acad Sci U S A 107, 478-483."
MtFLOT4,Inf+/-,Nod+/-,Fix+/-,"Haney et al., 2010",Membrane protein,FLOTILLIN 4 (FLOT4),,RNAi,Medtr3g106430,Mtr.11786.S1_at,"Lj0g3v0315989,",Glyma.06G065600,Phvul.009G090700,n/a,,"Haney, C.H., and Long, S.R. (2010). Plant flotillins are required for infection by nitrogen-fixing bacteria. Proc Natl Acad Sci U S A 107, 478-483."
MtFNSII,n/a,Nod+/-,n/a,"Zhang et al., 2009",Enzyme (Synthase),FLAVONE SYNTHASE (FNSII),,RNAi,Medtr7g027960,Mtr.1299.1.S1_s_at,-,Glyma.13G173500,Phvul.003G074000,n/a,,"Zhang, J., Subramanian, S., Stacey, G., and Yu, O. (2009). Flavones and flavonols play distinct critical roles during nodulation of Medicago truncatula by Sinorhizobium meliloti. The Plant Journal 57, 171-183."
GmFWL1,n/a,Nod+/-,n/a,"Libault et al., 2010",Unknown (PLAC8 domain containing),FRUIT WEIGHT 2.2-LIKE 1 (FWL1),,RNAi,Medtr6g084940,-,"Chromosome location AP004536.1
",Glyma.09G187000,Phvul.003G292900,n/a,,"Libault, M., Zhang, X.C., Govindarajulu, M., Qiu, J., Ong, Y.T., Brechenmacher, L., Berg, R.H., Hurley‐Sommer, A., Taylor, C.G., and Stacey, G. (2010). A member of the highly conserved FWL (tomato FW2. 2‐like) gene family is essential for soybean nodule organogenesis. The Plant Journal 62, 852-864."
MtGA2ox10,Inf+/-,"Nod+/-, Nod*",n/a,"Kim et al., 2019",Enzyme (Oxidase),GIBERELLIC ACID 20-OXIDASE,,CRISPR/Cas9,Medtr4g074130,-,Lj3g3v3500200,"Glyma.11G104800, Glyma.12G029800",Phvul.011G032800,n/a,,"Kim, G.-B., Son, S.-U., Yu, H.-J., and Mun, J.-H. (2019). MtGA2ox10 encoding C20-GA2-oxidase regulates rhizobial infection and nodule development in Medicago truncatula. Scientific Reports 9, 5952."
GmGα,n/a,Nod++,n/a,"Choudhury and Pandey, 2015",Heterotrimeric G-protein complex subunit,Soybean heterotrimeric G PROTEINS (Ga),,RNAi,Medtr1g015750,Mtr.5675.1.S1_s_at,Lj5g3v0433470,Glyma.17G226700,Phvul.001G092700,n/a,,"Choudhury, S.R., and Pandey, S. (2015). Phosphorylation-dependent regulation of G-protein cycle during nodule formation in soybean. The Plant Cell 27, 3260-3276."
LjGLB1,Inf+/-,Nod+/-,Fix+/-,"Fukudome et al., 2016",Oxygen carrier hemoprotein,non-symbiotic Class 1 HAEMOGLOBIN 1 (GLB1),,"LORE1, TILLING",Medtr4g068860,Msa.878.1.S1_at,Lj4g3v0353440,Glyma.11G121800,Phvul.011G048700,n/a,,"Fukudome, M., Calvo-Begueria, L., Kado, T., Osuki, K.-i., Rubio, M.C., Murakami, E.-i., Nagata, M., Kucho, K.-i., Sandal, N., and Stougaard, J. (2016). Hemoglobin LjGlb1-1 is involved in nodulation and regulates the level of nitric oxide in the Lotus japonicus–Mesorhizobium loti symbiosis. Journal of experimental botany 67, 5275-5283."
GmGβ1/GmGβ2/GmGβ3/GmGβ4,n/a,"Nod+/-, Nod*",Fix*,"Choudhury and Pandey, 2013",Heterotrimeric G-protein complex subunit,Soybean heterotrimeric G PROTEINS (GmGβ1/GmGβ2/GmGβ3/GmGβ4),,RNAi,Medtr3g116500,Mtr.10712.1.S1_at,Lj1g3v3407660(GmGβ3); Lj1g3v3407660 (GmGβ2),"GmGβ1 (Glyma.12G043900), GmGβ2 (Glyma.11G118500), GmGβ3 (Glyma.06G013000), GmGβ4 (Glyma.04G013100)",Phvul.011G045900,n/a,,"Choudhury, S.R., and Pandey, S. (2013). Specific subunits of heterotrimeric G proteins play important roles during nodulation in soybean. Plant physiology 162, 522-533."
"GmGγ1/GmGγ2/GmGγ3/GmGγ4/GmGγ5/GmGγ6/GmGγ7/GmGγ8/GmGγ9,GmGγ10",n/a,"Nod+/-, Nod*",Fix*,"Choudhury and Pandey, 2013",Heterotrimeric G-protein complex subunit,"Soybean heterotrimeric G PROTEINS (GmGγ1/GmGγ2/GmGγ3/GmGγ4/GmGγ5/GmGγ6/GmGγ7/GmGγ8/GmGγ9,GmGγ10)",,RNAi,Medtr1g071100,Mtr.7374.1.S1_at,Lj5g3v1014880 (GmGy1),"GmGγ1 (Glyma.10G03610), GmGγ2 (Glyma.02G16190), GmGγ3 (Glyma.20G33390), GmGγ4 (Glyma.10G32215), GmGγ5 (Glyma.11G18050), GmGγ6 (Glyma.14G17060), GmGγ7 (Glyma.17G29590), GmGγ8 (Glyma.15G19630), GmGγ9 (Glyma.17G05640), and GmGγ10 (Glyma.07G04510)",Phvul.007G175700,n/a,,"Choudhury, S.R., and Pandey, S. (2013). Specific subunits of heterotrimeric G proteins play important roles during nodulation in soybean. Plant physiology 162, 522-533."
LjHIP,n/a,Nod++,n/a,"Kang et al., 2015",Molecular chaperone protein,HSC/HSP70 INTERACTING PROTEIN (HIP),,RNAi,Medtr4g102390,Mtr.40545.1.S1_a_at,Lj4g3v1327390,"Glyma.05G051600, Glyma.17G133600 ",Phvul.003G214200,n/a,,"Kang, H., Xiao, A., Huang, X., Gao, X., Yu, H., He, X., Zhu, H., Hong, Z., and Zhang, Z. (2015). A Lotus japonicus cochaperone protein interacts with the ubiquitin-like domain protein CIP73 and plays a negative regulatory role in nodulation. Molecular Plant-Microbe Interactions 28, 534-545."
MtHMGR1,Inf-,Nod-,n/a,"Kevei et al., 2007",Enzyme (Oxidoreductase),3-HYDROXY-3-METHYLGLUTARYL COENZYME A REDUCTASE 1 (HMGR1),,RNAi,Medtr5g026460,Mtr.40156.1.S1_at,Lj2g3v1574250.1,Glyma.01G156700,Phvul.006G008200,n/a,,"Kevei, Z., Lougnon, G., Mergaert, P., Horváth, G.V., Kereszt, A., Jayaraman, D., Zaman, N., Marcel, F., Regulski, K., and Kiss, G.B. (2007). 3-Hydroxy-3-methylglutaryl coenzyme A reductase1 interacts with NORK and is crucial for nodulation in Medicago truncatula. The Plant Cell 19, 3974-3989."
GmIFS1/GmIFS2,n/a,Nod+/-,n/a,"Subramanian et al., 2006",Enzyme (Synthase),ISOFLAVONE SYNTHASE (IFS),,RNAi,"Medtr4g088160, Medtr4g088170, Medtr4g088195","Mtr.10492.1.S1_x_at, Mtr.40276.1.S1_at, Mtr.30765.1.S1_at","Lj4g3v0486150, Lj4g3v0485100, Lj4g3v0485090","Glyma.07G202300, Glyma.13G173500","Phvul.003G051700, Phvul.003G051800, Phvul.003G074000",n/a,,"Subramanian, S., Stacey, G., and Yu, O. (2006). Endogenous isoflavones are essential for the establishment of symbiosis between soybean and Bradyrhizobium japonicum. The Plant Journal 48, 261-273."
LjGLE1,n/a,"Nod+/-, Nod*","Fix+/-, Fix*","Imai et al., 2019",Nucleoporin,GLFG lethal1,,EMS,Medtr3g086460,Mtr.1101.1.S1_at, Lj4g3v0654690, Glyma.11G244100,Phvul.001G256000,n/a,,"Imai, A. , Ohtani, M. , Nara, A. , Tsukakoshi, A. , Narita, A. , Hirakawa, H. , Sato, S. and Suganuma, N. (2019), The Lotus japonicus nucleoporin GLE1 is involved in symbiotic association with rhizobia. Physiol Plantarum. doi:10.1111/ppl.12996"
LjIGN1,n/a,"Nod+, Nod*","Fix-, Fix*","Kumagai et al., 2007",Membrane protein (Ankyrin-repeat domain),INEFFECTIVE GREENISH NODULE 1 (IGN1),,Somatic mutation,Medtr7g100430,Mtr.11594.1.S1_at,Lj5g3v2288700,"Glyma.20G241200, Glyma.10G291900",Phvul.007G008900,n/a,,"Kumagai, H., Hakoyama, T., Umehara, Y., Sato, S., Kaneko, T., Tabata, S., and Kouchi, H. (2007). A novel ankyrin-repeat membrane protein, IGN1, is required for persistence of nitrogen-fixing symbiosis in root nodules of Lotus japonicus. Plant Physiology 143, 1293-1305."
