locus_tag	ftype	length_bp	gene	EC_number	COG	product
WSM1022_01327	CDS	654	bioS			Biotin transport regulator
WSM1022_01328	CDS	1539				hypothetical protein
WSM1022_01329	CDS	876				hypothetical protein
WSM1022_01330	CDS	333	yajC		COG1862	Sec translocon accessory complex subunit YajC
WSM1022_01331	CDS	2577	secD			Protein translocase subunit SecD
WSM1022_01332	CDS	369				hypothetical protein
WSM1022_01333	CDS	843				hypothetical protein
WSM1022_01334	CDS	456				hypothetical protein
WSM1022_01335	CDS	1419	trmFO	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
WSM1022_01336	CDS	291				hypothetical protein
WSM1022_01337	CDS	144				hypothetical protein
WSM1022_01338	tRNA	85				tRNA-Leu(tag)
WSM1022_01339	CDS	1476	tig	5.2.1.8	COG0544	Trigger factor
WSM1022_01340	CDS	2865	gcvP	1.4.4.2		Glycine dehydrogenase (decarboxylating)
WSM1022_01341	CDS	363	gcvH		COG0509	Glycine cleavage system H protein
WSM1022_01342	CDS	1140	gcvT_1	2.1.2.10	COG0404	Aminomethyltransferase
WSM1022_01343	CDS	396				hypothetical protein
WSM1022_01344	CDS	981				hypothetical protein
WSM1022_01345	CDS	378				hypothetical protein
WSM1022_01346	CDS	135				hypothetical protein
WSM1022_01347	CDS	237				hypothetical protein
WSM1022_01348	CDS	132				hypothetical protein
WSM1022_01349	CDS	117				hypothetical protein
WSM1022_01350	CDS	159				hypothetical protein
WSM1022_01351	CDS	639				hypothetical protein
WSM1022_01352	CDS	3792				hypothetical protein
WSM1022_01353	CDS	804				hypothetical protein
WSM1022_01354	CDS	2922	uvrA			UvrABC system protein A
WSM1022_01355	CDS	525	ssb		COG0629	Single-stranded DNA-binding protein
WSM1022_01356	CDS	630				hypothetical protein
WSM1022_01357	CDS	2796	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
WSM1022_01358	CDS	987				hypothetical protein
WSM1022_01359	CDS	510		2.3.1.-		L-methionine sulfoximine/L-methionine sulfone acetyltransferase
WSM1022_01360	CDS	795				hypothetical protein
WSM1022_01361	CDS	1122	nemA_1	1.3.1.-	COG1902	N-ethylmaleimide reductase
WSM1022_01362	CDS	291				hypothetical protein
WSM1022_01363	CDS	909	pgrR_2			HTH-type transcriptional regulator PgrR
WSM1022_01364	CDS	975	trxB_2	1.8.1.9	COG0492	Thioredoxin reductase
WSM1022_01365	CDS	471	lrp_1		COG1522	Leucine-responsive regulatory protein
WSM1022_01366	CDS	933				hypothetical protein
WSM1022_01367	CDS	1032	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
WSM1022_01368	CDS	1023	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
WSM1022_01369	CDS	1056	mshA_4	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
WSM1022_01370	CDS	477	greA		COG0782	Transcription elongation factor GreA
WSM1022_01371	CDS	1443				hypothetical protein
WSM1022_01372	CDS	348				hypothetical protein
WSM1022_01373	CDS	3492	carB_1	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
WSM1022_01374	CDS	1044		1.1.1.301		D-arabitol-phosphate dehydrogenase
WSM1022_01375	CDS	936				hypothetical protein
WSM1022_01376	CDS	1245	tetA_1			Tetracycline resistance protein, class C
WSM1022_01377	CDS	1401	mdtK		COG0534	Multidrug resistance protein MdtK
WSM1022_01378	CDS	1671	atm1_2		COG5265	ATM1-type heavy metal exporter
WSM1022_01379	CDS	132				hypothetical protein
WSM1022_01380	CDS	492	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
WSM1022_01381	CDS	573	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
WSM1022_01382	CDS	510		5.2.1.8		Putative peptidyl-prolyl cis-trans isomerase
WSM1022_01383	CDS	1083	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
WSM1022_01384	CDS	1131	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
WSM1022_01385	CDS	411				hypothetical protein
WSM1022_01386	CDS	885				hypothetical protein
WSM1022_01387	CDS	786				hypothetical protein
WSM1022_01388	CDS	588				hypothetical protein
WSM1022_01389	CDS	585				hypothetical protein
WSM1022_01390	CDS	141				hypothetical protein
WSM1022_01391	CDS	582				hypothetical protein
WSM1022_01392	CDS	756	linC	1.1.1.-	COG1028	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase
WSM1022_01393	CDS	1167	ycaD_5			putative MFS-type transporter YcaD
WSM1022_01394	CDS	213				hypothetical protein
WSM1022_01395	CDS	1518	hilA		COG0457	Transcriptional regulator HilA
WSM1022_01396	CDS	393				hypothetical protein
WSM1022_01397	CDS	723				hypothetical protein
WSM1022_01398	CDS	1374				ISNCY family transposase ISRel26
WSM1022_01399	CDS	837				hypothetical protein
WSM1022_01400	CDS	780	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
WSM1022_01401	CDS	1551	metG	6.1.1.10		Methionine--tRNA ligase
WSM1022_01402	CDS	1032	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
WSM1022_01403	CDS	705	tmk	2.7.4.9	COG0125	Thymidylate kinase
WSM1022_01404	CDS	1155	dacD	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacD
WSM1022_01405	CDS	1041	rlpA_2	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
WSM1022_01406	CDS	216				hypothetical protein
WSM1022_01407	CDS	261				hypothetical protein
WSM1022_01408	tRNA	90				tRNA-Ser(tga)
WSM1022_01409	tRNA	76				tRNA-Ala(cgc)
WSM1022_01410	CDS	165				hypothetical protein
WSM1022_01411	CDS	474				IS630 family transposase ISRm2011-2
WSM1022_01412	CDS	408				hypothetical protein
WSM1022_01413	CDS	717	lexA_2	3.4.21.88	COG1974	LexA repressor
WSM1022_01414	tRNA	74				tRNA-Cys(gca)
WSM1022_01415	CDS	1080				hypothetical protein
WSM1022_01416	CDS	420				hypothetical protein
WSM1022_01417	CDS	294				hypothetical protein
WSM1022_01418	tRNA	75				tRNA-Asn(gtt)
WSM1022_01419	CDS	345	mdtJ		COG2076	Spermidine export protein MdtJ
WSM1022_01420	CDS	327	mdtI		COG2076	Spermidine export protein MdtI
WSM1022_01421	CDS	399				hypothetical protein
WSM1022_01422	CDS	240				hypothetical protein
WSM1022_01423	CDS	120				hypothetical protein
WSM1022_01424	CDS	849	hcaB_2	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
WSM1022_01425	CDS	1086	cysK	2.5.1.47	COG0031	Cysteine synthase
WSM1022_01426	CDS	750	alaS_1	6.1.1.7	COG0013	Alanine--tRNA ligase
WSM1022_01427	CDS	864	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
WSM1022_01428	CDS	564				hypothetical protein
WSM1022_01429	CDS	468				hypothetical protein
WSM1022_01430	CDS	1119	ald_1	1.4.1.1	COG0686	Alanine dehydrogenase
WSM1022_01431	CDS	462	lrp_2		COG1522	Leucine-responsive regulatory protein
WSM1022_01432	CDS	1974	yfkN_1		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
WSM1022_01433	CDS	321				hypothetical protein
WSM1022_01434	CDS	1248	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
WSM1022_01435	CDS	1587	trkI		COG0168	Trk system potassium uptake protein TrkI
WSM1022_01436	CDS	591				hypothetical protein
WSM1022_01437	tRNA	83				tRNA-Leu(taa)
WSM1022_01438	CDS	390				hypothetical protein
WSM1022_01439	CDS	261				hypothetical protein
WSM1022_01440	CDS	240				hypothetical protein
WSM1022_01441	CDS	219				hypothetical protein
WSM1022_01442	CDS	243				hypothetical protein
WSM1022_01443	CDS	600		1.6.5.2		NAD(P)H dehydrogenase (quinone)
WSM1022_01444	CDS	762	cinA		COG1058	Putative competence-damage inducible protein
WSM1022_01445	CDS	498	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
WSM1022_01446	CDS	1485	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
WSM1022_01447	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
WSM1022_01448	CDS	1410	glnA_1	6.3.1.2	COG0174	Glutamine synthetase
WSM1022_01449	CDS	330	hspQ			Heat shock protein HspQ
WSM1022_01450	CDS	630				hypothetical protein
WSM1022_01451	CDS	1815				hypothetical protein
WSM1022_01452	CDS	666				hypothetical protein
WSM1022_01453	CDS	930	virS			HTH-type transcriptional regulator VirS
WSM1022_01454	CDS	237				hypothetical protein
WSM1022_01455	CDS	1257				hypothetical protein
WSM1022_01456	CDS	177				hypothetical protein
WSM1022_01457	CDS	843	xthA_2	3.1.11.2	COG0708	Exodeoxyribonuclease III
WSM1022_01458	CDS	225				hypothetical protein
WSM1022_01459	CDS	315				hypothetical protein
WSM1022_01460	CDS	3510	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
WSM1022_01461	CDS	306				hypothetical protein
WSM1022_01462	CDS	2106	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
WSM1022_01463	CDS	693				hypothetical protein
WSM1022_01464	CDS	498	eis_1	2.3.1.-		N-acetyltransferase Eis
WSM1022_01465	CDS	1827	nodM_1	2.6.1.16		Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
WSM1022_01466	CDS	1371	glmU_1			Bifunctional protein GlmU
WSM1022_01467	CDS	1647				hypothetical protein
WSM1022_01468	CDS	1893	prsA	5.2.1.8		Foldase protein PrsA
WSM1022_01469	CDS	1014	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
WSM1022_01470	CDS	816	trpC	4.1.1.48		Indole-3-glycerol phosphate synthase
WSM1022_01471	CDS	495	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
WSM1022_01472	CDS	1221	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
WSM1022_01473	CDS	567				hypothetical protein
WSM1022_01474	CDS	1293				hypothetical protein
WSM1022_01475	tRNA	80				tRNA-Phe(gaa)
WSM1022_01476	CDS	1071				Purine-binding protein
WSM1022_01477	CDS	921	rfuD_1		COG1079	putative riboflavin import permease protein RfuD
WSM1022_01478	CDS	1095				hypothetical protein
WSM1022_01479	CDS	1575	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
WSM1022_01480	CDS	978	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
WSM1022_01481	CDS	726	pcs	2.7.8.24	COG1183	Phosphatidylcholine synthase
WSM1022_01482	CDS	1212	ubiL_1	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
WSM1022_01483	CDS	963				hypothetical protein
WSM1022_01484	tRNA	76				tRNA-Lys(ttt)
WSM1022_01485	CDS	471				hypothetical protein
WSM1022_01486	CDS	540				hypothetical protein
WSM1022_01487	CDS	1974	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
WSM1022_01488	CDS	1431				hypothetical protein
WSM1022_01489	CDS	834			COG3039	IS5 family transposase ISRtr4
WSM1022_01490	CDS	435				hypothetical protein
WSM1022_01491	CDS	951				hypothetical protein
WSM1022_01492	CDS	237				hypothetical protein
WSM1022_01493	CDS	435				hypothetical protein
WSM1022_01494	CDS	888				hypothetical protein
WSM1022_01495	CDS	309				hypothetical protein
WSM1022_01496	CDS	564				hypothetical protein
WSM1022_01497	CDS	639				hypothetical protein
WSM1022_01498	CDS	462				hypothetical protein
WSM1022_01499	CDS	495				hypothetical protein
WSM1022_01500	CDS	345				hypothetical protein
WSM1022_01501	CDS	627				hypothetical protein
WSM1022_01502	CDS	693				hypothetical protein
WSM1022_01503	CDS	519				hypothetical protein
WSM1022_01504	CDS	294				hypothetical protein
WSM1022_01505	CDS	189				hypothetical protein
WSM1022_01506	CDS	759				hypothetical protein
WSM1022_01507	CDS	693				hypothetical protein
WSM1022_01508	CDS	654				hypothetical protein
WSM1022_01509	CDS	1359				hypothetical protein
WSM1022_01510	CDS	162				hypothetical protein
WSM1022_01511	CDS	339				hypothetical protein
WSM1022_01512	CDS	210				hypothetical protein
WSM1022_01513	CDS	372				hypothetical protein
WSM1022_01514	CDS	957				hypothetical protein
WSM1022_01515	CDS	414				hypothetical protein
WSM1022_01516	CDS	261				hypothetical protein
WSM1022_01517	CDS	390				hypothetical protein
WSM1022_01518	CDS	840				hypothetical protein
WSM1022_01519	CDS	3099				hypothetical protein
WSM1022_01520	CDS	1215				hypothetical protein
WSM1022_01521	CDS	999				hypothetical protein
WSM1022_01522	CDS	2031				hypothetical protein
WSM1022_01523	CDS	330				hypothetical protein
WSM1022_01524	CDS	792				IS630 family transposase ISBj5
WSM1022_01525	CDS	300				IS630 family transposase ISBj5
WSM1022_01526	CDS	1137	iscS_1	2.8.1.7		Cysteine desulfurase IscS
WSM1022_01527	CDS	876				hypothetical protein
WSM1022_01528	CDS	3153				hypothetical protein
WSM1022_01529	CDS	816				hypothetical protein
WSM1022_01530	CDS	1830				hypothetical protein
WSM1022_01531	CDS	1620				hypothetical protein
WSM1022_01532	CDS	5460				hypothetical protein
WSM1022_01533	CDS	1920				hypothetical protein
WSM1022_01534	CDS	762				hypothetical protein
WSM1022_01535	CDS	573				hypothetical protein
WSM1022_01536	CDS	348				hypothetical protein
WSM1022_01537	CDS	318				hypothetical protein
WSM1022_01538	CDS	738				hypothetical protein
WSM1022_01539	CDS	615				hypothetical protein
WSM1022_01540	CDS	1605				hypothetical protein
WSM1022_01541	CDS	297				hypothetical protein
WSM1022_01542	CDS	246				hypothetical protein
WSM1022_01543	CDS	513				hypothetical protein
WSM1022_01544	CDS	165				hypothetical protein
WSM1022_01545	CDS	264				hypothetical protein
WSM1022_01546	CDS	240				hypothetical protein
WSM1022_01547	CDS	300				hypothetical protein
WSM1022_01548	CDS	402				hypothetical protein
WSM1022_01549	CDS	408				hypothetical protein
WSM1022_01550	CDS	306				hypothetical protein
WSM1022_01551	CDS	1002	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
WSM1022_01552	CDS	648				hypothetical protein
WSM1022_01553	CDS	264				hypothetical protein
WSM1022_01554	CDS	855				hypothetical protein
WSM1022_01555	CDS	765	gdhIV	1.1.1.47	COG1028	Glucose 1-dehydrogenase 4
WSM1022_01556	CDS	1650		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
WSM1022_01557	CDS	1170	fadA_2	2.3.1.16		3-ketoacyl-CoA thiolase
WSM1022_01558	CDS	849				hypothetical protein
WSM1022_01559	CDS	804	linX	1.1.1.-		2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase LinX
WSM1022_01560	CDS	1011	siaP_1		COG1638	Sialic acid-binding periplasmic protein SiaP
WSM1022_01561	CDS	1869	siaT_1		COG1593	Sialic acid TRAP transporter permease protein SiaT
WSM1022_01562	CDS	825	oiaC	4.1.1.-		3-oxo-isoapionate decarboxylase
WSM1022_01563	CDS	759	fabG_4	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
WSM1022_01564	CDS	1047	aptB	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
WSM1022_01565	CDS	855	aptA	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
WSM1022_01566	CDS	978			COG1638	Solute-binding protein
WSM1022_01567	CDS	567				hypothetical protein
WSM1022_01568	CDS	1260	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
WSM1022_01569	CDS	888	ltnD_1	1.1.1.411	COG2084	L-threonate dehydrogenase
WSM1022_01570	CDS	975	perR_2			HTH-type transcriptional regulator PerR
WSM1022_01571	CDS	966				IS110 family transposase ISEc32
WSM1022_01572	CDS	876	blh_1	3.-.-.-	COG0491	Beta-lactamase hydrolase-like protein
WSM1022_01573	CDS	1500	sufS	4.4.1.16		Cysteine desulfurase
WSM1022_01574	CDS	483	decR_1		COG1522	DNA-binding transcriptional activator DecR
WSM1022_01575	CDS	1167				hypothetical protein
WSM1022_01576	CDS	585				hypothetical protein
WSM1022_01577	CDS	441				hypothetical protein
WSM1022_01578	CDS	666				hypothetical protein
WSM1022_01579	CDS	903	nodD2_1			Nodulation protein D 2
WSM1022_01580	tRNA	77				tRNA-Arg(tct)
WSM1022_01581	CDS	306				hypothetical protein
WSM1022_01582	tRNA	77				tRNA-Pro(tgg)
WSM1022_01583	CDS	492				hypothetical protein
WSM1022_01584	CDS	579				hypothetical protein
WSM1022_01585	CDS	441	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
WSM1022_01586	CDS	1320				hypothetical protein
WSM1022_01587	tRNA	76				tRNA-Glu(ttc)
WSM1022_01588	tRNA	76				tRNA-Glu(ttc)
WSM1022_01589	tRNA	75				tRNA-Glu(ctc)
WSM1022_01590	tRNA	76				tRNA-Glu(ttc)
WSM1022_01591	CDS	1803	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
WSM1022_01592	CDS	1323	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
WSM1022_01593	CDS	1218	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
WSM1022_01594	CDS	306				hypothetical protein
WSM1022_01595	CDS	1836	phaC	2.3.1.-	COG3243	Poly(3-hydroxyalkanoate) polymerase subunit PhaC
WSM1022_01596	CDS	720	sfsA		COG1489	Sugar fermentation stimulation protein A
WSM1022_01597	CDS	840	map_1	3.4.11.18	COG0024	Methionine aminopeptidase
WSM1022_01598	CDS	789				hypothetical protein
WSM1022_01599	CDS	1404	sthA	1.6.1.1	COG1249	putative soluble pyridine nucleotide transhydrogenase
WSM1022_01600	CDS	393	iscA		COG0316	Iron-binding protein IscA
WSM1022_01601	CDS	381				hypothetical protein
WSM1022_01602	CDS	1245	csd	2.8.1.7		putative cysteine desulfurase
WSM1022_01603	CDS	1278	sufD		COG0719	FeS cluster assembly protein SufD
WSM1022_01604	CDS	756	sufC		COG0396	putative ATP-dependent transporter SufC
WSM1022_01605	CDS	1470	sufB		COG0719	FeS cluster assembly protein SufB
WSM1022_01606	CDS	1167	iscS_2	2.8.1.7	COG1104	IscS-like cysteine desulfurase
WSM1022_01607	CDS	678				hypothetical protein
WSM1022_01608	CDS	294				hypothetical protein
WSM1022_01609	CDS	1197				hypothetical protein
WSM1022_01610	CDS	1149	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
WSM1022_01611	CDS	1254	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
WSM1022_01612	CDS	3417				hypothetical protein
WSM1022_01613	CDS	468	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin bcp
WSM1022_01614	CDS	828				hypothetical protein
WSM1022_01615	CDS	1404				hypothetical protein
WSM1022_01616	CDS	1500	rhlE_1	3.6.4.13		ATP-dependent RNA helicase RhlE
WSM1022_01617	CDS	408				hypothetical protein
WSM1022_01618	CDS	318				hypothetical protein
WSM1022_01619	CDS	1617	glmU_2	2.7.7.23		Bifunctional protein GlmU
WSM1022_01620	CDS	708				hypothetical protein
WSM1022_01621	CDS	333				hypothetical protein
WSM1022_01622	CDS	1263				hypothetical protein
WSM1022_01623	CDS	930				hypothetical protein
WSM1022_01624	CDS	528	hpaC	1.5.1.37	COG1853	4-hydroxyphenylacetate 3-monooxygenase reductase component
WSM1022_01625	CDS	1089			COG0683	Leu/Ile/Val-binding protein 
WSM1022_01626	CDS	1008		3.4.11.-	COG3191	putative aminopeptidase
WSM1022_01627	CDS	678	rpe_1	5.1.3.1		Ribulose-phosphate 3-epimerase
WSM1022_01628	CDS	738				hypothetical protein
WSM1022_01629	CDS	558				hypothetical protein
WSM1022_01630	CDS	1308	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
WSM1022_01631	CDS	306				hypothetical protein
WSM1022_01632	CDS	810				hypothetical protein
WSM1022_01633	CDS	555				hypothetical protein
WSM1022_01634	CDS	315				hypothetical protein
WSM1022_01635	CDS	765	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
WSM1022_01636	CDS	243	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
WSM1022_01637	CDS	672	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
WSM1022_01638	CDS	408				hypothetical protein
WSM1022_01639	CDS	1419				hypothetical protein
WSM1022_01640	CDS	594				hypothetical protein
WSM1022_01641	CDS	255				hypothetical protein
WSM1022_01642	CDS	2232	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
WSM1022_01643	CDS	234			COG0271	putative protein RP812
WSM1022_01644	CDS	243				hypothetical protein
WSM1022_01645	CDS	336	grxD		COG0278	Glutaredoxin 4
WSM1022_01646	CDS	1239	bcr_1			Bicyclomycin resistance protein
WSM1022_01647	CDS	1314	bcr_2			Bicyclomycin resistance protein
WSM1022_01648	CDS	825	cysQ_1	3.1.3.7		3'(2'),5'-bisphosphate nucleotidase CysQ
WSM1022_01649	CDS	885	ttcA	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
WSM1022_01650	CDS	948	glsA	3.5.1.2	COG2066	Thermolabile glutaminase
WSM1022_01651	CDS	618	rpsD		COG0522	30S ribosomal protein S4
WSM1022_01652	CDS	1515				hypothetical protein
WSM1022_01653	CDS	834	murI	5.1.1.3	COG0796	Glutamate racemase
WSM1022_01654	CDS	846	trmJ	2.1.1.-		tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ
WSM1022_01655	CDS	2016				hypothetical protein
WSM1022_01656	CDS	1215	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
WSM1022_01657	CDS	1656	dauA_1		COG0659	C4-dicarboxylic acid transporter DauA
WSM1022_01658	CDS	2664	alaS_2	6.1.1.7	COG0013	Alanine--tRNA ligase
WSM1022_01659	CDS	1086	recA			Protein RecA
WSM1022_01660	CDS	960	psuK	2.7.1.83	COG0524	Pseudouridine kinase
WSM1022_01661	CDS	933	psuG	4.2.1.70	COG2313	Pseudouridine-5'-phosphate glycosidase
WSM1022_01662	CDS	2610	cckA			Sensor kinase CckA
WSM1022_01663	CDS	966				hypothetical protein
WSM1022_01664	CDS	420	dksA_2		COG1734	RNA polymerase-binding transcription factor DksA
WSM1022_01665	CDS	537				hypothetical protein
WSM1022_01666	CDS	1500	ycjX		COG3106	putative protein YcjX
WSM1022_01667	CDS	1080				hypothetical protein
WSM1022_01668	CDS	552				hypothetical protein
WSM1022_01669	CDS	525	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
WSM1022_01670	CDS	372	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
WSM1022_01671	CDS	852	folP	2.5.1.15	COG0294	Dihydropteroate synthase
WSM1022_01672	CDS	636				hypothetical protein
WSM1022_01673	CDS	321	fdxE		COG0633	Ferredoxin-6
WSM1022_01674	CDS	369				hypothetical protein
WSM1022_01675	CDS	6270				hypothetical protein
WSM1022_01676	CDS	876	fbcH_1		COG1290	Cytochrome b/c1
WSM1022_01677	CDS	1281	fbcH_2		COG1290	Cytochrome b/c1
WSM1022_01678	CDS	579	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
WSM1022_01679	CDS	1866	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
WSM1022_01680	CDS	1854	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
WSM1022_01681	CDS	462	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
WSM1022_01682	CDS	573				hypothetical protein
WSM1022_01683	CDS	486	soxR		COG0789	Redox-sensitive transcriptional activator SoxR
WSM1022_01684	CDS	1188				hypothetical protein
WSM1022_01685	CDS	261				hypothetical protein
WSM1022_01686	CDS	981	hemF	1.3.3.3		Oxygen-dependent coproporphyrinogen-III oxidase
WSM1022_01687	CDS	279				hypothetical protein
WSM1022_01688	CDS	150				hypothetical protein
WSM1022_01689	CDS	147				hypothetical protein
WSM1022_01690	CDS	615				hypothetical protein
WSM1022_01691	CDS	1371	smc_2			Chromosome partition protein Smc
WSM1022_01692	CDS	810	mlaF	3.6.3.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
WSM1022_01693	CDS	1140				hypothetical protein
WSM1022_01694	CDS	984	ycjG	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
WSM1022_01695	CDS	1224	hcaT			putative 3-phenylpropionic acid transporter
WSM1022_01696	CDS	846	lpxH	3.6.1.54		UDP-2,3-diacylglucosamine hydrolase
WSM1022_01697	CDS	2313	dme	1.1.1.39	COG0280	NAD-dependent malic enzyme
WSM1022_01698	CDS	738				hypothetical protein
WSM1022_01699	CDS	645				hypothetical protein
WSM1022_01700	CDS	1128				hypothetical protein
WSM1022_01701	CDS	246				hypothetical protein
WSM1022_01702	CDS	687	bluB	1.13.11.79	COG0778	5,6-dimethylbenzimidazole synthase
WSM1022_01703	CDS	822	gno_1	1.1.1.-		Gluconate 5-dehydrogenase
WSM1022_01704	CDS	99				hypothetical protein
WSM1022_01705	CDS	1194				hypothetical protein
WSM1022_01706	CDS	1023				hypothetical protein
WSM1022_01707	CDS	828			COG0823	putative protein
WSM1022_01708	CDS	1683	nadE_1	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
WSM1022_01709	CDS	1920				hypothetical protein
WSM1022_01710	CDS	129				hypothetical protein
WSM1022_01711	CDS	423				hypothetical protein
WSM1022_01712	CDS	1734				hypothetical protein
WSM1022_01713	CDS	939				hypothetical protein
WSM1022_01714	CDS	396				hypothetical protein
WSM1022_01715	CDS	1374	aroH	2.5.1.54	COG3200	Phospho-2-dehydro-3-deoxyheptonate aldolase
WSM1022_01716	CDS	1392	garB	1.8.1.16		Glutathione amide reductase
WSM1022_01717	CDS	543				hypothetical protein
WSM1022_01718	CDS	696	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
WSM1022_01719	CDS	684	gph_3	3.1.3.18	COG0546	Phosphoglycolate phosphatase
WSM1022_01720	CDS	1896				hypothetical protein
WSM1022_01721	CDS	1494	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
WSM1022_01722	CDS	609				hypothetical protein
WSM1022_01723	CDS	918				hypothetical protein
WSM1022_01724	CDS	492				hypothetical protein
WSM1022_01725	CDS	375				hypothetical protein
WSM1022_01726	CDS	1050	moaA	4.1.99.22		GTP 3',8-cyclase
WSM1022_01727	CDS	909				hypothetical protein
WSM1022_01728	CDS	657	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
WSM1022_01729	CDS	525	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
WSM1022_01730	CDS	2244	pal_1			Peptidoglycan-associated lipoprotein
WSM1022_01731	CDS	783	artJ_1		COG0834	ABC transporter arginine-binding protein 1
WSM1022_01732	CDS	804	hisQ_2		COG4215	Histidine transport system permease protein HisQ
WSM1022_01733	CDS	831				hypothetical protein
WSM1022_01734	CDS	267				hypothetical protein
WSM1022_01735	CDS	705	fabG_5	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
WSM1022_01736	CDS	726				hypothetical protein
WSM1022_01737	CDS	828	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
WSM1022_01738	CDS	870	garR_1	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
WSM1022_01739	CDS	699				hypothetical protein
WSM1022_01740	CDS	489	decR_2		COG1522	DNA-binding transcriptional activator DecR
WSM1022_01741	CDS	630				hypothetical protein
